"species","pre1900","d1900","d1910","d1920","d1930","d1940","d1950","d1960","d1970","d1980","d1990","d2000","d2010","d2020","date_missing"
"Aegopodium podagraria",6,7,18,7,17,22,16,15,46,20,26,39,1463,2573,11
"Aletes acaulis",8,11,1,4,4,3,3,5,14,18,12,8,3,1,9
"Alnus alnobetula",103,58,95,93,235,287,407,332,408,256,198,313,1011,1028,106
"Alnus incana",178,160,173,144,263,200,319,324,413,317,275,306,1696,1489,234
"Alnus rubra",34,19,28,23,75,34,45,65,74,52,52,73,1551,2619,24
"Amelanchier canadensis",80,97,72,43,70,39,52,34,49,51,26,50,88,52,43
"Amyris elemifera",1,1,1,2,17,4,4,17,39,85,67,35,39,30,8
"Amyris texana",1,0,2,3,4,2,2,8,4,6,22,5,53,74,0
"Anethum graveolens",5,13,10,6,9,18,15,14,14,17,21,18,32,66,10
"Angelica ampla",5,10,0,0,4,4,3,4,3,13,12,6,15,9,14
"Angelica archangelica",0,0,0,0,0,0,0,0,1,1,3,1,2,1,3
"Angelica arguta",0,0,0,0,6,4,3,7,67,38,3,6,82,56,6
"Angelica atropurpurea",39,27,19,36,35,41,51,47,49,28,54,50,510,548,50
"Angelica hendersonii",3,1,2,8,12,4,10,4,8,34,1,4,234,174,1
"Angelica kingii",0,1,0,1,5,0,1,0,5,14,7,4,12,13,0
"Angelica lineariloba",0,1,1,4,7,4,1,14,21,30,8,17,58,73,1
"Angelica lucida",12,4,11,14,28,18,32,45,62,67,63,58,256,257,11
"Angelica sylvestris",0,0,0,0,2,2,1,1,5,1,0,10,161,146,0
"Angelica tomentosa",0,3,7,9,13,5,4,29,38,55,27,22,27,18,3
"Angelica venenosa",51,40,29,31,29,41,29,17,32,19,23,33,100,82,24
"Apium graveolens",9,7,8,13,30,21,17,51,78,89,75,120,197,209,13
"Artemisia dracunculus",73,31,29,67,167,76,86,174,301,231,252,493,632,421,109
"Artemisia norvegica",19,10,17,5,44,46,67,90,127,84,67,254,162,201,20
"Berula erecta",29,19,15,22,49,44,30,112,162,245,197,192,143,59,44
"Betula alleghaniensis",80,54,57,60,103,46,160,80,119,87,126,187,3776,5502,124
"Betula lenta",73,72,49,50,47,33,70,45,81,26,186,201,851,1108,95
"Betula papyrifera",79,90,93,86,189,204,404,373,310,197,194,269,4547,4965,207
"Betula pubescens",25,1,5,9,3,8,11,20,10,5,7,6,11,4,11
"Bupleurum fruticescens",0,0,0,0,0,0,0,0,0,0,1,0,2,0,1
"Carpinus caroliniana",140,85,72,85,131,103,210,191,281,468,451,411,4267,2986,271
"Carum carvi",46,26,23,27,40,33,49,36,67,36,42,33,52,42,62
"Casimiroa greggii",5,1,0,0,2,10,7,12,5,29,9,4,44,6,6
"Catalpa bignonioides",43,13,6,7,11,18,16,80,44,47,270,84,559,355,17
"Cicuta bulbifera",69,38,39,28,40,59,99,61,98,126,110,78,340,336,61
"Cicuta douglasii",15,14,28,30,40,30,39,44,106,120,76,48,117,54,9
"Cicuta maculata",139,95,115,108,177,196,268,284,463,281,308,234,1100,1081,146
"Cinnamomum camphora",0,0,2,6,3,5,14,23,28,26,25,81,252,403,29
"Conioselinum chinense",28,24,13,16,18,7,33,49,55,27,28,45,42,29,22
"Conioselinum scopulorum",26,22,13,5,15,14,7,18,20,33,68,48,35,4,41
"Conium maculatum",56,30,21,30,76,54,100,119,256,152,210,292,3706,3711,76
"Crithmum maritimum",0,0,0,0,0,0,0,0,0,1,0,0,4,0,0
"Cryptotaenia canadensis",109,72,60,78,117,95,168,150,175,187,221,151,892,1551,112
"Cydonia oblonga",9,3,3,3,1,0,5,10,6,20,17,4,102,132,17
"Cymopterus panamintensis",0,0,0,3,5,0,1,4,1,0,1,2,10,4,0
"Cymopterus purpureus",1,2,6,3,0,11,5,23,43,43,29,31,23,8,19
"Daucus carota",77,39,39,65,144,95,145,182,285,262,334,409,10072,16835,269
"Daucus pusillus",57,35,34,78,166,68,72,267,237,328,328,658,931,520,328
"Dictamnus albus",0,0,0,0,0,2,0,0,1,5,2,0,5,5,3
"Eriodictyon californicum",4,0,4,21,31,24,26,74,143,96,42,84,1402,2324,17
"Falcaria vulgaris",0,0,0,3,1,0,0,0,1,2,1,5,0,0,0
"Ferula communis",0,0,0,0,0,0,0,0,0,1,0,2,1,0,1
"Foeniculum vulgare",18,17,12,34,46,25,29,60,84,126,160,325,3578,4517,32
"Frangula californica",2,9,2,41,52,13,20,53,88,133,90,91,53,0,19
"Fraxinus americana",134,97,91,103,127,96,123,196,209,132,260,602,4418,2390,194
"Fraxinus anomala",28,3,14,3,24,40,28,41,148,65,86,96,222,150,29
"Fraxinus caroliniana",18,3,3,8,27,11,23,51,51,34,34,86,182,174,17
"Fraxinus latifolia",21,19,16,24,41,16,23,38,74,48,79,30,404,471,13
"Fraxinus nigra",67,41,37,48,54,63,48,74,90,82,68,72,1150,1281,71
"Fraxinus pennsylvanica",198,122,122,96,158,150,232,364,412,267,16578,20575,18151,1919,277
"Harbouria trachypleura",16,13,6,7,7,8,3,10,13,16,16,29,36,32,55
"Heracleum maximum",100,60,64,82,135,90,152,247,304,207,179,324,4044,4809,124
"Heracleum sphondylium",0,0,0,0,0,0,0,0,0,0,0,3,9,2,0
"Holodiscus discolor",87,61,60,134,274,129,154,233,551,454,237,266,3243,4843,64
"Levisticum officinale",7,5,3,6,2,2,1,0,1,3,5,7,10,13,10
"Ligusticum grayi",5,8,6,26,56,15,29,38,91,38,52,93,123,55,7
"Ligusticum porteri",14,25,8,3,17,7,3,6,24,52,38,39,100,41,51
"Ligusticum scoticum",4,9,7,18,26,18,46,57,66,61,67,40,228,283,7
"Ligustrum lucidum",0,1,1,2,2,2,4,14,19,51,26,70,1769,3286,4
"Ligustrum vulgare",30,23,8,11,4,7,12,13,27,30,62,58,478,536,16
"Lindera benzoin",120,67,74,52,95,83,146,125,149,209,264,288,4139,8534,91
"Liriodendron tulipifera",116,39,36,35,47,35,104,264,142,84,450,841,14200,17966,82
"Lomatium californicum",7,1,1,7,7,4,14,14,33,40,27,45,108,107,6
"Lomatium dasycarpum",11,6,5,25,45,16,44,84,104,111,109,148,456,499,16
"Lomatium dissectum",5,1,14,5,9,8,19,27,56,58,47,44,181,241,4
"Lomatium eastwoodiae",2,0,0,0,0,0,0,3,0,17,3,0,3,1,6
"Lomatium grayi",42,13,11,14,44,46,32,29,64,121,59,55,66,26,30
"Lomatium junceum",0,0,0,0,0,0,0,1,8,6,2,2,2,2,0
"Lomatium latilobum",0,0,1,0,1,1,4,1,0,7,1,6,12,14,2
"Lomatium lucidum",7,1,2,12,18,1,6,17,30,14,55,61,102,136,14
"Lomatium marginatum",1,0,3,1,3,2,5,7,25,35,31,24,30,13,4
"Lomatium nuttallii",2,4,0,2,1,2,7,3,13,8,10,11,9,1,4
"Lomatium parryi",6,0,4,0,13,3,2,10,36,50,24,28,40,53,2
"Lomatium scabrum",15,0,1,2,1,4,0,2,7,37,12,20,14,3,0
"Lomatium triternatum",38,22,43,51,116,67,50,84,150,103,49,64,276,408,10
"Lomatium utriculatum",15,10,32,40,68,33,53,95,125,127,127,174,590,1277,25
"Magnolia acuminata",25,18,15,11,20,24,27,30,25,39,71,85,525,394,32
"Magnolia virginiana",35,16,12,15,14,14,19,38,55,56,49,123,752,1314,35
"Malus domestica",3,0,0,6,2,2,5,16,18,20,503,192,25,0,7
"Oenanthe sarmentosa",17,3,26,32,66,18,52,28,87,89,62,61,396,419,17
"Osmorhiza longistylis",98,69,68,71,65,67,113,138,150,144,153,112,605,1031,83
"Papilio appalachiensis",0,0,0,0,0,0,0,0,1,0,0,18,71,42,0
"Papilio aristodemus",0,0,0,1,0,17,0,3,11,1,0,0,4,0,7
"Papilio brevicauda",12,1,0,3,28,23,56,38,77,56,7,47,188,75,25
"Papilio canadensis",19,27,60,79,230,145,279,473,747,1166,717,1375,6764,3525,87
"Papilio cresphontes",13,10,6,19,53,93,185,274,352,408,628,1023,8454,5021,223
"Papilio eurymedon",12,6,32,41,85,52,157,133,168,231,140,218,2035,1884,100
"Papilio glaucus",34,20,20,47,125,152,388,395,527,951,1337,3233,22087,22238,287
"Papilio indra",2,6,1,7,27,30,98,200,191,247,145,83,154,118,26
"Papilio machaon",40,17,17,15,56,31,115,188,616,814,327,187,778,124,70
"Papilio multicaudata",7,9,24,20,52,48,210,228,263,419,329,319,2856,2510,196
"Papilio palamedes",11,2,11,4,21,21,74,95,118,100,58,187,2290,2074,52
"Papilio polyxenes",26,6,13,26,80,74,54,189,223,253,91,1139,11370,17513,99
"Papilio rumiko",0,0,0,0,0,1,2,13,12,23,102,326,2406,2652,13
"Papilio rutulus",19,10,34,29,88,55,282,275,287,368,178,252,4419,4252,109
"Papilio troilus",31,10,17,32,94,109,524,438,378,246,529,981,7592,8294,163
"Papilio zelicaon",16,16,22,48,100,40,200,324,319,505,226,202,3746,3264,168
"Pastinaca sativa",71,36,29,44,61,41,91,85,108,115,102,86,1886,1591,58
"Perideridia bolanderi",10,3,7,7,19,18,26,18,47,66,47,46,42,9,6
"Perideridia gairdneri",26,7,8,7,33,18,22,47,71,81,59,56,103,97,24
"Perideridia kelloggii",5,1,1,2,8,3,5,3,32,29,22,45,87,65,6
"Persea americana",28,5,4,3,19,19,14,90,130,545,463,142,406,487,300
"Persea borbonia",23,13,6,6,17,7,13,42,35,24,34,53,220,389,10
"Petroselinum crispum",4,3,2,0,0,4,7,6,12,24,20,22,31,44,11
"Peucedanum oreoselinum",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Pimpinella saxifraga",2,3,0,2,0,3,10,10,18,9,5,6,50,36,8
"Platanus racemosa",8,4,0,2,6,1,3,12,14,9,12,26,2596,2116,3
"Platanus wrightii",8,8,0,2,9,10,18,52,46,40,65,61,447,238,5
"Populus angustifolia",37,21,14,9,20,27,38,58,145,62,87,96,1312,117,42
"Populus balsamifera",53,50,56,102,190,150,185,309,346,215,196,241,1139,1007,157
"Populus deltoides",112,59,76,72,119,128,190,308,480,191,276,357,4488,5471,118
"Populus grandidentata",88,79,63,105,106,88,80,82,102,105,89,85,1820,2994,111
"Populus tremuloides",115,74,115,130,230,207,320,439,456,322,348,491,6886,8435,225
"Populus trichocarpa",14,12,22,18,52,10,18,26,117,18,17,21,921,1373,5
"Prunus americana",86,73,68,44,65,86,102,126,170,100,276,160,506,596,105
"Prunus armeniaca",1,0,1,1,1,0,6,18,12,18,25,40,177,192,13
"Prunus caroliniana",8,2,3,7,9,14,12,20,45,42,48,116,927,2152,13
