"species","n_filtered","n_background","filtered_csv","pa_csv","mcp_shapefile"
"Aegopodium podagraria",2758,10000,"yes","yes","yes"
"Aletes acaulis",13,0,"yes","no","no"
"Alnus alnobetula",1887,10000,"yes","yes","yes"
"Alnus incana",2634,10000,"yes","yes","yes"
"Alnus rubra",1738,10000,"yes","yes","yes"
"Amelanchier canadensis",206,10000,"yes","yes","yes"
"Ammi visnaga",6,0,"yes","no","no"
"Amyris elemifera",42,10000,"yes","yes","yes"
"Amyris texana",69,10000,"yes","yes","yes"
"Anethum graveolens",123,10000,"yes","yes","yes"
"Angelica ampla",30,0,"yes","no","no"
"Angelica archangelica",2,0,"yes","no","no"
"Angelica arguta",129,10000,"yes","yes","yes"
"Angelica atropurpurea",862,10000,"yes","yes","yes"
"Angelica hendersonii",135,7618,"yes","yes","yes"
"Angelica kingii",23,0,"yes","no","no"
"Angelica lineariloba",99,6062,"yes","yes","yes"
"Angelica lucida",363,10000,"yes","yes","yes"
"Angelica sylvestris",180,10000,"yes","yes","yes"
"Angelica tomentosa",46,10000,"yes","yes","yes"
"Angelica venenosa",217,10000,"yes","yes","yes"
"Apium graveolens",230,10000,"yes","yes","yes"
"Artemisia dracunculus",1080,10000,"yes","yes","yes"
"Artemisia norvegica",369,10000,"yes","yes","yes"
"Berula erecta",259,10000,"yes","yes","yes"
"Betula pubescens",29,0,"yes","no","no"
"Betula alleghaniensis",4764,10000,"yes","yes","yes"
"Betula lenta",1188,10000,"yes","yes","yes"
"Betula papyrifera",5293,10000,"yes","yes","yes"
"Bupleurum falcatum",0,0,"no","no","no"
"Bupleurum fruticescens",2,0,"yes","no","no"
"Carpinus caroliniana",3939,10000,"yes","yes","yes"
"Carum carvi",172,10000,"yes","yes","yes"
"Casimiroa greggii",25,0,"yes","no","no"
"Catalpa bignonioides",502,10000,"yes","yes","yes"
"Cicuta bulbifera",644,10000,"yes","yes","yes"
"Cicuta douglasii",252,10000,"yes","yes","yes"
"Cicuta maculata",2297,10000,"yes","yes","yes"
"Cinnamomum camphora",828,10000,"yes","yes","yes"
"Conioselinum chinense",79,10000,"yes","yes","yes"
"Conioselinum scopulorum",94,10000,"yes","yes","yes"
"Conium maculatum",3464,10000,"yes","yes","yes"
"Crithmum maritimum",3,0,"yes","no","no"
"Cryptotaenia canadensis",2188,10000,"yes","yes","yes"
"Cydonia oblonga",333,10000,"yes","yes","yes"
"Cymopterus panamintensis",14,0,"yes","no","no"
"Cymopterus purpureus",61,10000,"yes","yes","yes"
"Daucus carota",14931,10000,"yes","yes","yes"
"Daucus pusillus",1323,10000,"yes","yes","yes"
"Dictamnus albus",25,0,"yes","no","no"
"Eriodictyon californicum",929,10000,"yes","yes","yes"
"Falcaria vulgaris",3,0,"yes","no","no"
"Ferula communis",2,0,"yes","no","no"
"Foeniculum vulgare",1814,10000,"yes","yes","yes"
"Fraxinus americana",3167,10000,"yes","yes","yes"
"Fraxinus anomala",283,10000,"yes","yes","yes"
"Fraxinus caroliniana",300,10000,"yes","yes","yes"
"Fraxinus latifolia",543,10000,"yes","yes","yes"
"Fraxinus nigra",1944,10000,"yes","yes","yes"
"Fraxinus pennsylvanica",2890,10000,"yes","yes","yes"
"Haplophyllum balcanicum",0,0,"no","no","no"
"Haplophyllum linifolium",0,0,"no","no","no"
"Haplophyllum tuberculatum",0,0,"no","no","no"
"Harbouria trachypleura",103,10000,"yes","yes","yes"
"Heracleum maximum",39,0,"yes","no","no"
"Heracleum sphondylium",2,0,"yes","no","no"
"Holodiscus discolor",3661,10000,"yes","yes","yes"
"Laserpitium halleri",0,0,"no","no","no"
"Laserpitium latifolium",0,0,"no","no","no"
"Levisticum officinale",34,0,"yes","no","no"
"Ligusticum grayi",178,10000,"yes","yes","yes"
"Ligusticum porteri",116,10000,"yes","yes","yes"
"Ligusticum scoticum",436,10000,"yes","yes","yes"
"Ligustrum lucidum",1738,10000,"yes","yes","yes"
"Ligustrum vulgare",750,10000,"yes","yes","yes"
"Lindera benzoin",5987,10000,"yes","yes","yes"
"Liriodendron tulipifera",11418,10000,"yes","yes","yes"
"Lomatium californicum",149,10000,"yes","yes","yes"
"Lomatium dasycarpum",386,10000,"yes","yes","yes"
"Lomatium dissectum",305,10000,"yes","yes","yes"
"Lomatium eastwoodiae",10,0,"yes","no","no"
"Lomatium grayi",119,10000,"yes","yes","yes"
"Lomatium junceum",4,0,"yes","no","no"
"Lomatium latilobum",34,0,"yes","no","no"
"Lomatium lucidum",119,5643,"yes","yes","yes"
"Lomatium marginatum",41,6120,"yes","yes","yes"
"Lomatium nuttallii",12,0,"yes","no","no"
"Lomatium parryi",78,10000,"yes","yes","yes"
"Lomatium scabrum",25,0,"yes","no","no"
"Lomatium triternatum",568,10000,"yes","yes","yes"
"Lomatium utriculatum",603,10000,"yes","yes","yes"
"Magnolia acuminata",1178,10000,"yes","yes","yes"
