genus,species,gbif_name,accepted_name,notes,gbif_count,gbif_date,include
Aegopodium,podagraria,Aegopodium podagraria,Aegopodium podagraria,,4227,2022-05-18,TRUE
Aletes,acaulis,Aletes acaulis,Aletes acaulis,,104,2022-05-18,TRUE
Alnus,alnobetula,Alnus alnobetula,Alnus alnobetula,includes A. crispa and A. viridis,4934,2022-05-18,TRUE
Alnus,incana,Alnus incana,Alnus incana,Includes A. rugosa and A. tenuifolia,6464,2022-05-18,TRUE
Alnus,rubra,Alnus rubra,Alnus rubra,,4741,2022-05-18,TRUE
Amelanchier,canadensis,Amelanchier canadensis,Amelanchier canadensis,,845,2022-05-18,TRUE
Ammi,visnaga,Ammi visnaga,Ammi visnaga,Mediterranean species,0,2022-05-18,FALSE
Amyris,elemifera,Amyris elemifera,Amyris elemifera,,347,2022-05-18,TRUE
Amyris,texana,Amyris texana,Amyris texana,,176,2022-05-18,TRUE
Anethum,graveolens,Anethum graveolens,Anethum graveolens,,269,2022-05-18,TRUE
Angelica,ampla,Angelica ampla,Angelica ampla,,101,2022-05-18,TRUE
Angelica,archangelica,Angelica archangelica,Angelica archangelica,European species,12,2022-05-18,FALSE
Angelica,arguta,Angelica arguta,Angelica arguta,,278,2022-05-18,TRUE
Angelica,atropurpurea,Angelica atropurpurea,Angelica atropurpurea,,1571,2022-05-18,TRUE
Angelica,hendersonii,Angelica hendersonii,Angelica hendersonii,,497,2022-05-18,TRUE
Angelica,kingii,Angelica kingii,Angelica kingii,,65,2022-05-18,TRUE
Angelica,lineariloba,Angelica lineariloba,Angelica lineariloba,,240,2022-05-18,TRUE
Angelica,lucida,Angelica lucida,Angelica lucida,,962,2022-05-18,TRUE
Angelica,sylvestris,Angelica sylvestris,Angelica sylvestris,,327,2022-05-18,TRUE
Angelica,tomentosa,Angelica tomentosa,Angelica tomentosa,,261,2022-05-18,TRUE
Angelica,venenosa,Angelica venenosa,Angelica venenosa,,576,2022-05-18,TRUE
Apium,graveolens,Apium graveolens,Apium graveolens,,936,2022-05-18,TRUE
Artemisia,dracunculus,Artemisia dracunculus,Artemisia dracunculus,,3127,2022-05-18,TRUE
Artemisia,norvegica,Artemisia norvegica,Artemisia norvegica,,1226,2022-05-18,TRUE
Berula,erecta,Berula erecta,Berula erecta,,1358,2022-05-18,TRUE
Betula,alba,Betula pubescens,Betula pubescens,"Eurasian species, potentially syn of B. pubescens",136,2022-05-18,FALSE
Betula,alleghaniensis,Betula alleghaniensis,Betula alleghaniensis,,10447,2022-05-18,TRUE
Betula,lenta,Betula lenta,Betula lenta,,2992,2022-05-18,TRUE
Betula,papyrifera,Betula papyrifera,Betula papyrifera,,12136,2022-05-18,TRUE
