"species","n_filtered","n_background","filtered_csv","pa_csv","mcp_shapefile"
"Aegopodium podagraria",2158,10000,"yes","yes","yes"
"Aletes acaulis",9,0,"yes","no","no"
"Alnus alnobetula",1505,10000,"yes","yes","yes"
"Alnus incana",2238,10000,"yes","yes","yes"
"Alnus rubra",1477,10000,"yes","yes","yes"
"Amelanchier canadensis",152,10000,"yes","yes","yes"
"Ammi visnaga",0,0,"no","no","no"
"Amyris elemifera",40,7175,"yes","yes","yes"
"Amyris texana",59,10000,"yes","yes","yes"
"Anethum graveolens",111,10000,"yes","yes","yes"
"Angelica ampla",16,0,"yes","no","no"
"Angelica archangelica",2,0,"yes","no","no"
"Angelica arguta",98,10000,"yes","yes","yes"
"Angelica atropurpurea",642,10000,"yes","yes","yes"
"Angelica hendersonii",120,9017,"yes","yes","yes"
"Angelica kingii",22,0,"yes","no","no"
"Angelica lineariloba",70,10000,"yes","yes","yes"
"Angelica lucida",305,10000,"yes","yes","yes"
"Angelica sylvestris",147,10000,"yes","yes","yes"
"Angelica tomentosa",37,0,"yes","no","no"
"Angelica venenosa",172,10000,"yes","yes","yes"
"Apium graveolens",229,10000,"yes","yes","yes"
"Artemisia dracunculus",837,10000,"yes","yes","yes"
"Artemisia norvegica",370,10000,"yes","yes","yes"
"Berula erecta",233,10000,"yes","yes","yes"
"Betula pubescens",17,0,"yes","no","no"
"Betula alleghaniensis",3872,10000,"yes","yes","yes"
"Betula lenta",1004,10000,"yes","yes","yes"
"Betula papyrifera",4567,10000,"yes","yes","yes"
"Bupleurum falcatum",0,0,"no","no","no"
"Bupleurum fruticescens",2,0,"yes","no","no"
"Carpinus caroliniana",3218,10000,"yes","yes","yes"
"Carum carvi",106,10000,"yes","yes","yes"
"Casimiroa greggii",21,0,"yes","no","no"
"Catalpa bignonioides",702,10000,"yes","yes","yes"
"Cicuta bulbifera",559,10000,"yes","yes","yes"
"Cicuta douglasii",155,10000,"yes","yes","yes"
"Cicuta maculata",1632,10000,"yes","yes","yes"
"Cinnamomum camphora",473,10000,"yes","yes","yes"
"Conioselinum chinense",80,10000,"yes","yes","yes"
"Conioselinum scopulorum",70,10000,"yes","yes","yes"
"Conium maculatum",2879,10000,"yes","yes","yes"
"Crithmum maritimum",3,0,"yes","no","no"
"Cryptotaenia canadensis",1654,10000,"yes","yes","yes"
"Cydonia oblonga",193,10000,"yes","yes","yes"
"Cymopterus panamintensis",11,0,"yes","no","no"
"Cymopterus purpureus",49,10000,"yes","yes","yes"
"Daucus carota",11524,10000,"yes","yes","yes"
"Daucus pusillus",1086,10000,"yes","yes","yes"
"Dictamnus albus",9,0,"yes","no","no"
"Eriodictyon californicum",859,10000,"yes","yes","yes"
"Falcaria vulgaris",3,0,"yes","no","no"
"Ferula communis",3,0,"yes","no","no"
"Foeniculum vulgare",1608,10000,"yes","yes","yes"
"Fraxinus americana",3003,10000,"yes","yes","yes"
"Fraxinus anomala",254,10000,"yes","yes","yes"
"Fraxinus caroliniana",262,10000,"yes","yes","yes"
"Fraxinus latifolia",418,10000,"yes","yes","yes"
"Fraxinus nigra",1492,10000,"yes","yes","yes"
"Fraxinus pennsylvanica",2386,10000,"yes","yes","yes"
"Haplophyllum balcanicum",0,0,"no","no","no"
"Haplophyllum linifolium",0,0,"no","no","no"
"Haplophyllum tuberculatum",0,0,"no","no","no"
"Harbouria trachypleura",66,10000,"yes","yes","yes"
"Heracleum maximum",3801,10000,"yes","yes","yes"
"Heracleum sphondylium",5,0,"yes","no","no"
"Holodiscus discolor",2743,10000,"yes","yes","yes"
"Laserpitium halleri",0,0,"no","no","no"
"Laserpitium latifolium",0,0,"no","no","no"
"Levisticum officinale",24,0,"yes","no","no"
"Ligusticum grayi",167,10000,"yes","yes","yes"
"Ligusticum porteri",121,10000,"yes","yes","yes"
"Ligusticum scoticum",370,10000,"yes","yes","yes"
"Ligustrum lucidum",1501,10000,"yes","yes","yes"
"Ligustrum vulgare",683,10000,"yes","yes","yes"
"Lindera benzoin",4953,10000,"yes","yes","yes"
"Liriodendron tulipifera",11612,10000,"yes","yes","yes"
"Lomatium californicum",125,10000,"yes","yes","yes"
"Lomatium dasycarpum",362,10000,"yes","yes","yes"
"Lomatium dissectum",275,10000,"yes","yes","yes"
"Lomatium eastwoodiae",4,0,"yes","no","no"
"Lomatium grayi",99,10000,"yes","yes","yes"
"Lomatium junceum",4,0,"yes","no","no"
"Lomatium latilobum",24,0,"yes","no","no"
"Lomatium lucidum",112,2685,"yes","yes","yes"
"Lomatium marginatum",41,6194,"yes","yes","yes"
"Lomatium nuttallii",11,0,"yes","no","no"
"Lomatium parryi",71,10000,"yes","yes","yes"
"Lomatium scabrum",25,0,"yes","no","no"
"Lomatium triternatum",440,10000,"yes","yes","yes"
"Lomatium utriculatum",557,10000,"yes","yes","yes"
"Magnolia acuminata",652,10000,"yes","yes","yes"
"Magnolia virginiana",1343,10000,"yes","yes","yes"
"Malus domestica",74,10000,"yes","yes","yes"
"Meum athamanticum",0,0,"no","no","no"
"Oenanthe sarmentosa",468,10000,"yes","yes","yes"
"Osmorhiza longistylis",1108,10000,"yes","yes","yes"
"Tiedemannia canbyi",2,0,"yes","no","no"
"Papilio appalachiensis",98,10000,"yes","yes","yes"
"Papilio aristodemus",3,0,"yes","no","no"
"Papilio brevicauda",158,10000,"yes","yes","yes"
"Papilio canadensis",5325,10000,"yes","yes","yes"
"Papilio cresphontes",5308,10000,"yes","yes","yes"
"Papilio eurymedon",2144,10000,"yes","yes","yes"
"Papilio glaucus",14990,10000,"yes","yes","yes"
"Papilio indra",205,10000,"yes","yes","yes"
"Papilio machaon",448,10000,"yes","yes","yes"
"Papilio multicaudata",2244,10000,"yes","yes","yes"
"Papilio palamedes",1642,10000,"yes","yes","yes"
"Papilio polyxenes",12013,10000,"yes","yes","yes"
"Papilio rumiko",1811,10000,"yes","yes","yes"
"Papilio rutulus",3487,10000,"yes","yes","yes"
"Papilio troilus",7316,10000,"yes","yes","yes"
"Papilio zelicaon",2171,10000,"yes","yes","yes"
