insect,host_source,host_accepted,source_name,source_doi
Papilio appalachiensis,Prunus serotina,Prunus serotina,Pavulaan & Wright 2002,
Papilio aristodemus,Amyris elemifera,Amyris elemifera,Rutkowski 1971,
Papilio aristodemus,Amyris elemifera,Amyris elemifera,Scott 1986,10.1515/9781503624450
Papilio aristodemus,Zanthoxylum fagara,Zanthoxylum fagara,Rutkowski 1971,
Papilio aristodemus,Zanthoxylum fagara,Zanthoxylum fagara,Scott 1986,10.1515/9781503624450
Papilio brevicauda,Angelica atropurpurea,Angelica atropurpurea,Scott 1986,10.1515/9781503624450
Papilio brevicauda,Coelopleurum lucidum,Angelica lucida,Scott 1986,10.1515/9781503624450
Papilio brevicauda,Apium graveolens,Apium graveolens,Scott 1986,10.1515/9781503624450
Papilio brevicauda,Conioselinum chinense,Conioselinum chinense,Scott 1986,10.1515/9781503624450
Papilio brevicauda,Daucus carota,Daucus carota,Scott 1986,10.1515/9781503624450
Papilio brevicauda,Heracleum lanatum,Heracleum maximum,Scott 1986,10.1515/9781503624450
Papilio brevicauda,Ligusticum scoticum,Ligusticum scoticum,Scott 1986,10.1515/9781503624450
Papilio brevicauda,Pastinaca sativa,Pastinaca sativa,Scott 1986,10.1515/9781503624450
Papilio brevicauda,Petroselinum crispum,Petroselinum crispum,Scott 1986,10.1515/9781503624450
Papilio canadensis,Alnus rugosa,Alnus incana,Scott 1986,10.1515/9781503624450
Papilio canadensis,Amelanchier canadensis,Amelanchier canadensis,Scott 1986,10.1515/9781503624450
Papilio canadensis,Betula alleghaniensis,Betula alleghaniensis,Scott 1986,10.1515/9781503624450
Papilio canadensis,Betula lenta,Betula lenta,Scott 1986,10.1515/9781503624450
Papilio canadensis,Betula papyrifera,Betula papyrifera,Scott 1986,10.1515/9781503624450
Papilio canadensis,Betula alba,Betula pubescens,Scott 1986,10.1515/9781503624450
Papilio canadensis,Fraxinus americana,Fraxinus americana,Scott 1986,10.1515/9781503624450
Papilio canadensis,Fraxinus pennsylvanica,Fraxinus pennsylvanica,Scott 1986,10.1515/9781503624450
Papilio canadensis,Malus pumila,Malus domestica,Scott 1986,10.1515/9781503624450
Papilio canadensis,Populus balsamifera,Populus balsamifera,Scott 1986,10.1515/9781503624450
Papilio canadensis,Populus grandidentata,Populus grandidentata,Scott 1986,10.1515/9781503624450
Papilio canadensis,Populus tremuloides,Populus tremuloides,Scott 1986,10.1515/9781503624450
Papilio canadensis,Prunus cerasus,Prunus cerasus,Scott 1986,10.1515/9781503624450
Papilio canadensis,Prunus pensylvanica,Prunus pensylvanica,Scott 1986,10.1515/9781503624450
Papilio canadensis,Prunus persica,Prunus persica,Scott 1986,10.1515/9781503624450
Papilio canadensis,Prunus serotina,Prunus serotina,Scott 1986,10.1515/9781503624450
Papilio canadensis,Prunus virginiana,Prunus virginiana,Scott 1986,10.1515/9781503624450
Papilio canadensis,Sorbus americana,Sorbus americana,Scott 1986,10.1515/9781503624450
Papilio canadensis,Syringa vulgaris,Syringa vulgaris,Scott 1986,10.1515/9781503624450
Papilio canadensis,Tilia americana,Tilia americana,Scott 1986,10.1515/9781503624450
Papilio cresphontes,Ptelea trifoliata,Ptelea trifoliata,Scott 1986,10.1515/9781503624450
Papilio cresphontes,Ptelea trifoliata,Ptelea trifoliata,Tyler et al 1995,10.1086/419219
Papilio cresphontes,Ruta graveolens,Ruta graveolens,Scott 1986,10.1515/9781503624450
Papilio cresphontes,Ruta graveolens,Ruta graveolens,Tyler et al 1995,10.1086/419219
Papilio cresphontes,Zanthoxylum americanum,Zanthoxylum americanum,Marks 2018,
Papilio cresphontes,Zanthoxylum clava-herculis,Zanthoxylum clava-herculis,Marks 2018,
Papilio eurymedon,Alnus rubra,Alnus rubra,Scott 1986,10.1515/9781503624450
Papilio eurymedon,Ceanothus fendleri,Ceanothus fendleri,Scott 1986,10.1515/9781503624450
Papilio eurymedon,Ceanothus prostratus,Ceanothus prostratus,Scott 1986,10.1515/9781503624450
Papilio eurymedon,Ceanothus sanguineus,Ceanothus sanguineus,Scott 1986,10.1515/9781503624450
Papilio eurymedon,Ceanothus velutinus,Ceanothus velutinus,Scott 1986,10.1515/9781503624450
Papilio eurymedon,Crataegus douglasii,Crataegus douglasii,Scott 1986,10.1515/9781503624450
Papilio eurymedon,Crataegus rivularis,Crataegus rivularis,Scott 1986,10.1515/9781503624450
Papilio eurymedon,Rhamnus californica,Frangula californica,Scott 1986,10.1515/9781503624450
