gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3113660384	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/78253864	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus emarginata		SPECIES	Prunus emarginata (Douglas ex Hook.) Walp.	Prunus emarginata		US		Washington	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.707478	-121.719008	16.0						2021-04-18T10:35:46	18	4	2021	3020783	3020783	HUMAN_OBSERVATION	iNaturalist	Observations	78253864		crobby	2021-05-10T18:27:00	CC_BY_NC_4_0	crobby	crobby			2021-05-18T12:51:41.745Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3113590658	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/77705056	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus emarginata		SPECIES	Prunus emarginata (Douglas ex Hook.) Walp.	Prunus emarginata		US		Washington	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	48.45702	-122.623437	5.0						2021-05-03T07:59:06	3	5	2021	3020783	3020783	HUMAN_OBSERVATION	iNaturalist	Observations	77705056		margymiller	2021-05-07T03:28:08	CC_BY_NC_4_0	margymiller	margymiller			2021-05-18T12:51:45.152Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3113571725	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/77754056	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus emarginata		SPECIES	Prunus emarginata (Douglas ex Hook.) Walp.	Prunus emarginata		US		Washington	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	47.387213	-122.173745	36.0						2021-05-06T12:35:30	6	5	2021	3020783	3020783	HUMAN_OBSERVATION	iNaturalist	Observations	77754056		margaretmariew	2021-05-07T14:56:19	CC_BY_NC_4_0	margaretmariew	margaretmariew			2021-05-18T12:51:56.117Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3113482846	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/78607483	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus emarginata		SPECIES	Prunus emarginata (Douglas ex Hook.) Walp.	Prunus emarginata		US		Oregon	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.39763	-121.804134	9.0						2021-05-13T11:39:41	13	5	2021	3020783	3020783	HUMAN_OBSERVATION	iNaturalist	Observations	78607483		smalaby	2021-05-13T18:40:08	CC_BY_NC_4_0	smalaby	smalaby			2021-05-18T12:47:28.492Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3113478556	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/77194730	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus emarginata		SPECIES	Prunus emarginata (Douglas ex Hook.) Walp.	Prunus emarginata		US		Washington	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.584249	-122.198332	44.0						2021-05-01T11:20:31	1	5	2021	3020783	3020783	HUMAN_OBSERVATION	iNaturalist	Observations	77194730		B W	2021-05-04T04:47:55	CC_BY_NC_4_0	Larry Thornton	Larry Thornton			2021-05-18T12:29:45.927Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3113377466	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/78303645	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus emarginata		SPECIES	Prunus emarginata (Douglas ex Hook.) Walp.	Prunus emarginata		US		Washington	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	47.241116	-121.17443	7.0						2021-05-10T19:00:34	10	5	2021	3020783	3020783	HUMAN_OBSERVATION	iNaturalist	Observations	78303645		kroc_nature	2021-05-11T02:01:33	CC_BY_NC_4_0	kroc_nature	kroc_nature			2021-05-18T12:16:53.688Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3113367374	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/78283848	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus emarginata		SPECIES	Prunus emarginata (Douglas ex Hook.) Walp.	Prunus emarginata		US		Washington	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	48.050528	-123.056067							2021-05-10T15:33:16	10	5	2021	3020783	3020783	HUMAN_OBSERVATION	iNaturalist	Observations	78283848		John A Haskins	2021-05-10T22:46:38	CC_BY_4_0	John A Haskins	John A Haskins			2021-05-18T12:51:42.572Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3113331627	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/77696804	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus emarginata		SPECIES	Prunus emarginata (Douglas ex Hook.) Walp.	Prunus emarginata		US		Idaho	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.810622	-117.008545	65.0						2021-05-06T19:07:25	6	5	2021	3020783	3020783	HUMAN_OBSERVATION	iNaturalist	Observations	77696804		medin931	2021-05-07T02:07:51	CC_BY_NC_4_0	medin931	medin931			2021-05-18T12:30:25.608Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3113267566	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/77135192	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus emarginata		SPECIES	Prunus emarginata (Douglas ex Hook.) Walp.	Prunus emarginata		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	39.194667	-120.82425	5.0						2016-04-26T18:20:06	26	4	2016	3020783	3020783	HUMAN_OBSERVATION	iNaturalist	Observations	77135192		jeannefh	2021-05-04T00:09:17	CC_BY_NC_4_0	jeannefh	jeannefh			2021-05-18T12:03:12.317Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3112963727	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/77513907	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus emarginata		SPECIES	Prunus emarginata (Douglas ex Hook.) Walp.	Prunus emarginata		US		Washington	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	48.103388	-123.348199							2021-05-05T13:36:09	5	5	2021	3020783	3020783	HUMAN_OBSERVATION	iNaturalist	Observations	77513907		Kris Ethington	2021-05-05T21:44:56	CC_BY_NC_4_0	Kris Ethington	Kris Ethington			2021-05-18T12:31:38.533Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
