"insect","host","host_accepted","source"
"Papilio brevicauda","Angelica lucida","Angelica lucida","https://en.wikipedia.org/wiki/Papilio_brevicauda"
"Papilio cresphontes","Ptelea trifoliata","Ptelea trifoliata","https://www.butterfliesandmoths.org/species/Papilio-cresphontes"
"Papilio cresphontes","Ruta graveolens","Ruta graveolens","https://www.butterfliesandmoths.org/species/Papilio-cresphontes"
"Papilio cresphontes","Zanthoxylum americanum","Zanthoxylum americanum","https://www.butterfliesandmoths.org/species/Papilio-cresphontes"
"Papilio cresphontes","Zanthoxylum clava-herculis","Zanthoxylum clava-herculis",""
"Papilio multicaudata","Prunus emarginata","Prunus emarginata","https://en.wikipedia.org/wiki/Papilio_multicaudata"
"Papilio multicaudata","Ptelea trifoliata","Ptelea trifoliata","https://en.wikipedia.org/wiki/Papilio_multicaudata"
"Papilio rumiko","Amyris texana","Amyris texana","https://en.wikipedia.org/wiki/Papilio_rumiko"
"Papilio rumiko","Casimiroa greggii","Casimiroa greggii","https://en.wikipedia.org/wiki/Papilio_rumiko"
"Papilio rumiko","Ptelea trifoliata","Ptelea trifoliata","https://en.wikipedia.org/wiki/Papilio_rumiko"
"Papilio rumiko","Ruta graveolens","Ruta graveolens","https://en.wikipedia.org/wiki/Papilio_rumiko"
"Papilio rumiko","Zanthoxylum fagara","Zanthoxylum fagara","https://en.wikipedia.org/wiki/Papilio_rumiko"
