"insect","sdm","tune.args","fold","AUC","CBI","IMAE","thr.mss","OR.mss","TSS.mss"
"Papilio appalachiensis","BRT",NA,1,NA,NA,NA,NA,NA,NA
"Papilio appalachiensis","BRT",NA,2,NA,NA,NA,NA,NA,NA
"Papilio appalachiensis","BRT",NA,3,NA,NA,NA,NA,NA,NA
"Papilio appalachiensis","BRT",NA,4,NA,NA,NA,NA,NA,NA
"Papilio appalachiensis","GAM",NA,1,NA,NA,NA,NA,NA,NA
"Papilio appalachiensis","GAM",NA,2,NA,NA,NA,NA,NA,NA
"Papilio appalachiensis","GAM",NA,3,NA,NA,NA,NA,NA,NA
"Papilio appalachiensis","GAM",NA,4,NA,NA,NA,NA,NA,NA
"Papilio appalachiensis","LASSO",NA,1,NA,NA,NA,NA,NA,NA
"Papilio appalachiensis","LASSO",NA,2,NA,NA,NA,NA,NA,NA
"Papilio appalachiensis","LASSO",NA,3,NA,NA,NA,NA,NA,NA
"Papilio appalachiensis","LASSO",NA,4,NA,NA,NA,NA,NA,NA
"Papilio appalachiensis","MAXENT",NA,1,NA,NA,NA,NA,NA,NA
"Papilio appalachiensis","MAXENT",NA,2,NA,NA,NA,NA,NA,NA
"Papilio appalachiensis","MAXENT",NA,3,NA,NA,NA,NA,NA,NA
"Papilio appalachiensis","MAXENT",NA,4,NA,NA,NA,NA,NA,NA
"Papilio appalachiensis","RF",NA,1,NA,NA,NA,NA,NA,NA
"Papilio appalachiensis","RF",NA,2,NA,NA,NA,NA,NA,NA
"Papilio appalachiensis","RF",NA,3,NA,NA,NA,NA,NA,NA
"Papilio appalachiensis","RF",NA,4,NA,NA,NA,NA,NA,NA
"Papilio brevicauda","BRT",NA,1,NA,NA,NA,NA,NA,NA
"Papilio brevicauda","BRT",NA,2,NA,NA,NA,NA,NA,NA
"Papilio brevicauda","BRT",NA,3,NA,NA,NA,NA,NA,NA
"Papilio brevicauda","BRT",NA,4,NA,NA,NA,NA,NA,NA
"Papilio brevicauda","GAM",NA,1,NA,NA,NA,NA,NA,NA
"Papilio brevicauda","GAM",NA,2,NA,NA,NA,NA,NA,NA
"Papilio brevicauda","GAM",NA,3,NA,NA,NA,NA,NA,NA
"Papilio brevicauda","GAM",NA,4,NA,NA,NA,NA,NA,NA
"Papilio brevicauda","LASSO",NA,1,NA,NA,NA,NA,NA,NA
"Papilio brevicauda","LASSO",NA,2,NA,NA,NA,NA,NA,NA
"Papilio brevicauda","LASSO",NA,3,NA,NA,NA,NA,NA,NA
"Papilio brevicauda","LASSO",NA,4,NA,NA,NA,NA,NA,NA
"Papilio brevicauda","MAXENT",NA,1,NA,NA,NA,NA,NA,NA
"Papilio brevicauda","MAXENT",NA,2,NA,NA,NA,NA,NA,NA
"Papilio brevicauda","MAXENT",NA,3,NA,NA,NA,NA,NA,NA
"Papilio brevicauda","MAXENT",NA,4,NA,NA,NA,NA,NA,NA
"Papilio brevicauda","RF",NA,1,NA,NA,NA,NA,NA,NA
"Papilio brevicauda","RF",NA,2,NA,NA,NA,NA,NA,NA
"Papilio brevicauda","RF",NA,3,NA,NA,NA,NA,NA,NA
"Papilio brevicauda","RF",NA,4,NA,NA,NA,NA,NA,NA
"Papilio canadensis","BRT",NA,1,NA,NA,NA,NA,NA,NA
"Papilio canadensis","BRT",NA,2,NA,NA,NA,NA,NA,NA
"Papilio canadensis","BRT",NA,3,NA,NA,NA,NA,NA,NA
"Papilio canadensis","BRT",NA,4,NA,NA,NA,NA,NA,NA
"Papilio canadensis","GAM",NA,1,NA,NA,NA,NA,NA,NA
"Papilio canadensis","GAM",NA,2,NA,NA,NA,NA,NA,NA
"Papilio canadensis","GAM",NA,3,NA,NA,NA,NA,NA,NA
"Papilio canadensis","GAM",NA,4,NA,NA,NA,NA,NA,NA
"Papilio canadensis","LASSO",NA,1,NA,NA,NA,NA,NA,NA
"Papilio canadensis","LASSO",NA,2,NA,NA,NA,NA,NA,NA
"Papilio canadensis","LASSO",NA,3,NA,NA,NA,NA,NA,NA
"Papilio canadensis","LASSO",NA,4,NA,NA,NA,NA,NA,NA
"Papilio canadensis","MAXENT",NA,1,NA,NA,NA,NA,NA,NA
"Papilio canadensis","MAXENT",NA,2,NA,NA,NA,NA,NA,NA
"Papilio canadensis","MAXENT",NA,3,NA,NA,NA,NA,NA,NA
"Papilio canadensis","MAXENT",NA,4,NA,NA,NA,NA,NA,NA
"Papilio canadensis","RF",NA,1,NA,NA,NA,NA,NA,NA
"Papilio canadensis","RF",NA,2,NA,NA,NA,NA,NA,NA
"Papilio canadensis","RF",NA,3,NA,NA,NA,NA,NA,NA
"Papilio canadensis","RF",NA,4,NA,NA,NA,NA,NA,NA
"Papilio cresphontes","BRT",NA,1,NA,NA,NA,NA,NA,NA
"Papilio cresphontes","BRT",NA,2,NA,NA,NA,NA,NA,NA
"Papilio cresphontes","BRT",NA,3,NA,NA,NA,NA,NA,NA
"Papilio cresphontes","BRT",NA,4,NA,NA,NA,NA,NA,NA
"Papilio cresphontes","GAM",NA,1,NA,NA,NA,NA,NA,NA
"Papilio cresphontes","GAM",NA,2,NA,NA,NA,NA,NA,NA
"Papilio cresphontes","GAM",NA,3,NA,NA,NA,NA,NA,NA
"Papilio cresphontes","GAM",NA,4,NA,NA,NA,NA,NA,NA
"Papilio cresphontes","LASSO",NA,1,NA,NA,NA,NA,NA,NA
"Papilio cresphontes","LASSO",NA,2,NA,NA,NA,NA,NA,NA
"Papilio cresphontes","LASSO",NA,3,NA,NA,NA,NA,NA,NA
"Papilio cresphontes","LASSO",NA,4,NA,NA,NA,NA,NA,NA
"Papilio cresphontes","MAXENT",NA,1,NA,NA,NA,NA,NA,NA
"Papilio cresphontes","MAXENT",NA,2,NA,NA,NA,NA,NA,NA
"Papilio cresphontes","MAXENT",NA,3,NA,NA,NA,NA,NA,NA
"Papilio cresphontes","MAXENT",NA,4,NA,NA,NA,NA,NA,NA
"Papilio cresphontes","RF",NA,1,NA,NA,NA,NA,NA,NA
"Papilio cresphontes","RF",NA,2,NA,NA,NA,NA,NA,NA
"Papilio cresphontes","RF",NA,3,NA,NA,NA,NA,NA,NA
"Papilio cresphontes","RF",NA,4,NA,NA,NA,NA,NA,NA
"Papilio eurymedon","BRT",NA,1,NA,NA,NA,NA,NA,NA
"Papilio eurymedon","BRT",NA,2,NA,NA,NA,NA,NA,NA
"Papilio eurymedon","BRT",NA,3,NA,NA,NA,NA,NA,NA
"Papilio eurymedon","BRT",NA,4,NA,NA,NA,NA,NA,NA
"Papilio eurymedon","GAM",NA,1,NA,NA,NA,NA,NA,NA
"Papilio eurymedon","GAM",NA,2,NA,NA,NA,NA,NA,NA
"Papilio eurymedon","GAM",NA,3,NA,NA,NA,NA,NA,NA
"Papilio eurymedon","GAM",NA,4,NA,NA,NA,NA,NA,NA
"Papilio eurymedon","LASSO",NA,1,NA,NA,NA,NA,NA,NA
"Papilio eurymedon","LASSO",NA,2,NA,NA,NA,NA,NA,NA
"Papilio eurymedon","LASSO",NA,3,NA,NA,NA,NA,NA,NA
"Papilio eurymedon","LASSO",NA,4,NA,NA,NA,NA,NA,NA
"Papilio eurymedon","MAXENT",NA,1,NA,NA,NA,NA,NA,NA
"Papilio eurymedon","MAXENT",NA,2,NA,NA,NA,NA,NA,NA
"Papilio eurymedon","MAXENT",NA,3,NA,NA,NA,NA,NA,NA
"Papilio eurymedon","MAXENT",NA,4,NA,NA,NA,NA,NA,NA
"Papilio eurymedon","RF",NA,1,NA,NA,NA,NA,NA,NA
"Papilio eurymedon","RF",NA,2,NA,NA,NA,NA,NA,NA
"Papilio eurymedon","RF",NA,3,NA,NA,NA,NA,NA,NA
"Papilio eurymedon","RF",NA,4,NA,NA,NA,NA,NA,NA
"Papilio glaucus","BRT",NA,1,NA,NA,NA,NA,NA,NA
"Papilio glaucus","BRT",NA,2,NA,NA,NA,NA,NA,NA
"Papilio glaucus","BRT",NA,3,NA,NA,NA,NA,NA,NA
"Papilio glaucus","BRT",NA,4,NA,NA,NA,NA,NA,NA
"Papilio glaucus","GAM",NA,1,NA,NA,NA,NA,NA,NA
"Papilio glaucus","GAM",NA,2,NA,NA,NA,NA,NA,NA
"Papilio glaucus","GAM",NA,3,NA,NA,NA,NA,NA,NA
"Papilio glaucus","GAM",NA,4,NA,NA,NA,NA,NA,NA
"Papilio glaucus","LASSO",NA,1,NA,NA,NA,NA,NA,NA
"Papilio glaucus","LASSO",NA,2,NA,NA,NA,NA,NA,NA
"Papilio glaucus","LASSO",NA,3,NA,NA,NA,NA,NA,NA
"Papilio glaucus","LASSO",NA,4,NA,NA,NA,NA,NA,NA
"Papilio glaucus","MAXENT",NA,1,NA,NA,NA,NA,NA,NA
"Papilio glaucus","MAXENT",NA,2,NA,NA,NA,NA,NA,NA
"Papilio glaucus","MAXENT",NA,3,NA,NA,NA,NA,NA,NA
"Papilio glaucus","MAXENT",NA,4,NA,NA,NA,NA,NA,NA
"Papilio glaucus","RF",NA,1,NA,NA,NA,NA,NA,NA
"Papilio glaucus","RF",NA,2,NA,NA,NA,NA,NA,NA
"Papilio glaucus","RF",NA,3,NA,NA,NA,NA,NA,NA
"Papilio glaucus","RF",NA,4,NA,NA,NA,NA,NA,NA
"Papilio indra","BRT","tree.8300_node.5_lr.0.001",1,0.708515255804397,0.747,0.89206281195022,0.04916794,0.225806451612903,0.364161701253339
"Papilio indra","BRT","tree.8300_node.5_lr.0.001",2,0.607590299863698,0.633,0.963805863267886,0.0195304,0.564516129032258,0.251328941390277
"Papilio indra","BRT","tree.8300_node.5_lr.0.001",3,0.527916391357087,0.259,0.934271571572173,0.01395435,0.0806451612903226,0.145585349256911
"Papilio indra","BRT","tree.8300_node.5_lr.0.001",4,0.532537839402788,0.545,0.96416664111313,0.01010798,0.524590163934426,0.131315646927708
"Papilio indra","GAM",NA,1,0.70075893774399,0.672,0.867071657340134,0.09710761,0.290322580645161,0.362543661393055
"Papilio indra","GAM",NA,2,0.547643116765107,0.257,0.898693003422885,0.01913164,0.225806451612903,0.183700590640618
"Papilio indra","GAM",NA,3,0.469933728464216,0.113,0.943179875244843,4e-08,0.032258064516129,0.0625141763887931
"Papilio indra","GAM",NA,4,0.386460000124523,0.795,0.943214761840156,0.16975948,0.901639344262295,0.0664578832348566
"Papilio indra","LASSO","lambda.1se",1,0.745588915142798,0.511,0.41505942497422,0.72754673,0.161290322580645,0.458932607355661
"Papilio indra","LASSO","lambda.1se",2,0.622325079509314,0.797,0.685458031218084,0.34621038,0.338709677419355,0.27431849159473
"Papilio indra","LASSO","lambda.1se",3,0.468558002386564,-0.392,0.553213984228126,0.07842381,0.0645161290322581,0.0596049348625753
"Papilio indra","LASSO","lambda.1se",4,0.353349355282574,-0.613,0.511498193017826,0.20158067,0,0.0622863653627042
"Papilio indra","MAXENT","fc.L_rm.2",1,0.750796995731345,0.856,0.242971002788816,0.83508109,0.129032258064516,0.45974496136597
"Papilio indra","MAXENT","fc.L_rm.2",2,0.472682830534848,0.723,0.673685985485581,0.45233997,0.725806451612903,0.138124433916254
"Papilio indra","MAXENT","fc.L_rm.2",3,0.669535781421205,0.756,0.276700967341525,0.86640654,0.612903225806452,0.289558600307603
"Papilio indra","MAXENT","fc.L_rm.2",4,0.276091196491854,-0.816,0.339329025060897,0.15954561,0,0.00233281493001547
"Papilio indra","RF","mtry = 3",1,0.637347185124307,0.528,0.481045523520486,0.575,0.209677419354839,0.290322580645161
"Papilio indra","RF","mtry = 3",2,0.665342457973648,0.76,0.765523432115782,0.347,0.483870967741935,0.372467060427079
"Papilio indra","RF","mtry = 3",3,0.58355193735762,0.275,0.590610861086109,0.291,0.193548387096774,0.180037672212306
"Papilio indra","RF","mtry = 3",4,0.509563360375561,0.329,0.745133630289532,0.359,0.786885245901639,0.0949985368556716
"Papilio machaon","BRT","tree.2725_node.5_lr.0.01",1,0.477846153846154,-0.662,0.690594999189097,0.03627168,0.123076923076923,0.146923076923077
"Papilio machaon","BRT","tree.2725_node.5_lr.0.01",2,0.417969949946694,-0.585,0.627618562361386,0.0124625,0.0697674418604651,0.0505705534775303
"Papilio machaon","BRT","tree.2725_node.5_lr.0.01",3,0.618818876159302,0.359,0.882743728530961,0.0267262,0.261538461538461,0.221440261865794
"Papilio machaon","BRT","tree.2725_node.5_lr.0.01",4,0.686921568391061,0.829,0.935753315894198,0.04209685,0.449612403100775,0.291704341326389
"Papilio machaon","GAM",NA,1,0.618189349112426,-0.71,0.816958334815129,0.06245302,0.176923076923077,0.307692307692308
"Papilio machaon","GAM",NA,2,0.560292098082796,0.137,0.799788279072667,0.20603494,0.542635658914729,0.124031007751938
"Papilio machaon","GAM",NA,3,0.601792144026187,0.661,0.870449901613302,0.03803969,0.238461538461539,0.182815057283142
"Papilio machaon","GAM",NA,4,0.623579916492861,0.913,0.915136288130394,0.10149092,0.612403100775194,0.258514473097279
"Papilio machaon","LASSO","lambda.1se",1,0.603455621301775,0.801,0.394304503918974,0.60888286,0.0384615384615384,0.256923076923077
"Papilio machaon","LASSO","lambda.1se",2,0.645737337597803,0.897,0.580971346434478,0.41399405,0.209302325581395,0.258937767658698
"Papilio machaon","LASSO","lambda.1se",3,0.648917075831969,0.783,0.4864342860027,0.67597976,0.6,0.229078014184397
"Papilio machaon","LASSO","lambda.1se",4,0.671019848015399,0.108,0.502376615436867,0.60683935,0.441860465116279,0.365034299010211
"Papilio machaon","MAXENT","fc.L_rm.3",1,0.320276134122288,-0.883,0.210980429347666,0.46940232,0,0.0145299145299145
"Papilio machaon","MAXENT","fc.L_rm.3",2,0.535194082929782,0.595,0.459462116038851,0.72969107,0.7421875,0.102243492736077
"Papilio machaon","MAXENT","fc.L_rm.3",3,0.496126802884615,0.326,0.517901985160969,0.34356526,0.0923076923076923,0.0811298076923077
"Papilio machaon","MAXENT","fc.L_rm.3",4,0.526640140861174,0.046,0.374256542221119,0.57351144,0.24031007751938,0.124667128165791
"Papilio machaon","RF","mtry = 3",1,0.647970414201183,0.905,0.487782517482517,0.506,0.184615384615385,0.222307692307692
"Papilio machaon","RF","mtry = 3",2,0.535454048535444,0.424,0.547794439764111,0.572,0.581395348837209,0.239408846966987
"Papilio machaon","RF","mtry = 3",3,0.64917894162575,0.693,0.628373376623377,0.402,0.338461538461538,0.302673213311511
"Papilio machaon","RF","mtry = 3",4,0.547895041411986,0.407,0.642679207424128,0.412,0.573643410852713,0.150825225746561
"Papilio multicaudata","BRT",NA,1,NA,NA,NA,NA,NA,NA
"Papilio multicaudata","BRT",NA,2,NA,NA,NA,NA,NA,NA
"Papilio multicaudata","BRT",NA,3,NA,NA,NA,NA,NA,NA
"Papilio multicaudata","BRT",NA,4,NA,NA,NA,NA,NA,NA
"Papilio multicaudata","GAM",NA,1,NA,NA,NA,NA,NA,NA
"Papilio multicaudata","GAM",NA,2,NA,NA,NA,NA,NA,NA
"Papilio multicaudata","GAM",NA,3,NA,NA,NA,NA,NA,NA
"Papilio multicaudata","GAM",NA,4,NA,NA,NA,NA,NA,NA
