"insect","sdm","tune.args","fold","AUC","CBI","IMAE","thr.mss","OR.mss","TSS.mss"
"Papilio appalachiensis","BRT","tree.2075_node.5_lr.0.001",1,0.794979189716032,0.455,0.981005337187278,0.00539442,0,0.540066382171645
"Papilio appalachiensis","BRT","tree.2075_node.5_lr.0.001",2,0.734821753170377,-0.142,0.98466945275794,0.00757735,0.230769230769231,0.462308333867967
"Papilio appalachiensis","BRT","tree.2075_node.5_lr.0.001",3,0.852358101885512,0.497,0.971282263971212,0.01280678,0.0769230769230769,0.636372449226892
"Papilio appalachiensis","BRT","tree.2075_node.5_lr.0.001",4,0.629727771305163,0.678,0.974168525172158,0.0090324,0.538461538461538,0.225483788468642
"Papilio appalachiensis","GAM",NA,1,0.858,0.286,0.985,0.002,0.074,0.659
"Papilio appalachiensis","GAM",NA,2,0.792,0.826,0.982,0.005,0.077,0.512
"Papilio appalachiensis","GAM",NA,3,0.695,0.705,0.972,0.011,0.077,0.406
"Papilio appalachiensis","GAM",NA,4,0.64,0.665,0.971,0.001,0.077,0.261
"Papilio appalachiensis","LASSO","lambda.1se",1,0.81,0.635,0.666,0.347,0.111,0.548
"Papilio appalachiensis","LASSO","lambda.1se",2,0.795,0.857,0.575,0.517,0.154,0.49
"Papilio appalachiensis","LASSO","lambda.1se",3,0.823,0.74,0.513,0.529,0.077,0.604
"Papilio appalachiensis","LASSO","lambda.1se",4,0.65,0.488,0.71,0.144,0.077,0.296
"Papilio appalachiensis","MAXENT","fc.L_rm.1",1,0.858,0.505,0.86,0.131,0.0370370370370371,0.700715124346248
"Papilio appalachiensis","MAXENT","fc.L_rm.1",2,0.793,0.891,0.684,0.299,0.153846153846154,0.478749757663227
"Papilio appalachiensis","MAXENT","fc.L_rm.1",3,0.884,0.799,0.543,0.641,0.0769230769230769,0.686049376632336
"Papilio appalachiensis","MAXENT","fc.L_rm.1",4,0.684,0.844,0.72,0.181,0.0384615384615384,0.311780908386653
"Papilio appalachiensis","RF","mtry = 3",1,0.815,0.63,0.771,0.215,0,0.598
"Papilio appalachiensis","RF","mtry = 3",2,0.767,0.854,0.769,0.225,0.154,0.45
"Papilio appalachiensis","RF","mtry = 3",3,0.847,0.825,0.591,0.535,0.115,0.609
"Papilio appalachiensis","RF","mtry = 3",4,0.579,0.479,0.694,0.439,0.615,0.193
"Papilio brevicauda","BRT","tree.5225_node.5_lr.0.001",1,0.70260657217179,0.691,0.973911630773975,0.01185368,0.333333333333333,0.464511334076551
"Papilio brevicauda","BRT","tree.5225_node.5_lr.0.001",2,0.66073350071736,0.65,0.903426498438907,0.02791596,0.024390243902439,0.369604854136777
"Papilio brevicauda","BRT","tree.5225_node.5_lr.0.001",3,0.593063791554358,-0.406,0.971024078374018,0.00358891,0.0238095238095238,0.267511230907457
"Papilio brevicauda","BRT","tree.5225_node.5_lr.0.001",4,0.638428936321078,0.652,0.973355955862973,0.01589062,0.463414634146341,0.322842386005624
"Papilio brevicauda","GAM",NA,1,0.305,-0.8,0.974,0,0,0.094
"Papilio brevicauda","GAM",NA,2,0.691,0.347,0.855,0.086,0.293,0.378
"Papilio brevicauda","GAM",NA,3,0.398,-0.378,0.97,0.002,0.714,0.16
"Papilio brevicauda","GAM",NA,4,0.508,0.181,0.86,0.045,0.488,0.173
"Papilio brevicauda","LASSO","lambda.1se",1,0.891,0.939,0.819,0.348,0.262,0.627
"Papilio brevicauda","LASSO","lambda.1se",2,0.642,0.733,0.213,0.806,0.146,0.261
"Papilio brevicauda","LASSO","lambda.1se",3,0.607,0.488,0.871,0.176,0.571,0.196
"Papilio brevicauda","LASSO","lambda.1se",4,0.793,0.849,0.56,0.598,0.39,0.453
"Papilio brevicauda","MAXENT","fc.L_rm.3",1,0.898,0.853,0.749,0.37,0.0952380952380952,0.656743784716605
"Papilio brevicauda","MAXENT","fc.L_rm.3",2,0.806,0.512,0.345,0.89,0.170731707317073,0.514372001042449
"Papilio brevicauda","MAXENT","fc.L_rm.3",3,0.693,0.32,0.89,0.105,0.390243902439024,0.352569436004824
"Papilio brevicauda","MAXENT","fc.L_rm.3",4,0.767,0.823,0.592,0.576,0.292682926829268,0.501021024945681
"Papilio brevicauda","RF","mtry = 3",1,0.717,0.707,0.754,0.423,0.452,0.472
"Papilio brevicauda","RF","mtry = 3",2,0.697,0.547,0.462,0.538,0.024,0.454
"Papilio brevicauda","RF","mtry = 3",3,0.588,0.626,0.848,0.256,0.643,0.233
"Papilio brevicauda","RF","mtry = 3",4,0.728,0.653,0.624,0.557,0.439,0.431
"Papilio canadensis","BRT","tree.6850_node.5_lr.0.01",1,0.803474027325882,0.975,0.674836152301935,0.69352567,0.0900195694716243,0.494326935087646
"Papilio canadensis","BRT","tree.6850_node.5_lr.0.01",2,0.523032105212262,0.08,0.573692233421338,0.13971266,0.0280678851174935,0.101561744512136
"Papilio canadensis","BRT","tree.6850_node.5_lr.0.01",3,0.692230075024692,-0.672,0.763696675735217,0.03375081,0.251141552511416,0.360844308671104
"Papilio canadensis","BRT","tree.6850_node.5_lr.0.01",4,0.828004995409946,0.985,0.690733864823979,0.34957816,0.174281984334204,0.504713449455751
"Papilio canadensis","GAM",NA,1,0.696,0.949,0.647,0.674,0.033,0.396
"Papilio canadensis","GAM",NA,2,0.534,0.224,0.647,0.258,0.055,0.082
"Papilio canadensis","GAM",NA,3,0.64,-0.301,0.772,0.017,0.521,0.263
"Papilio canadensis","GAM",NA,4,0.813,0.988,0.649,0.679,0.213,0.481
"Papilio canadensis","LASSO","lambda.1se",1,0.517,0.432,0.6,0.761,0.001,0.245
"Papilio canadensis","LASSO","lambda.1se",2,0.516,0.602,0.651,0.403,0.031,0.102
"Papilio canadensis","LASSO","lambda.1se",3,0.683,0.168,0.756,0.001,0.257,0.296
"Papilio canadensis","LASSO","lambda.1se",4,0.805,0.853,0.598,0.785,0.094,0.542
"Papilio canadensis","MAXENT","fc.LQ_rm.3",1,0.562,0.43,0.755,0.863,0.771689497716895,0.146118721461187
"Papilio canadensis","MAXENT","fc.LQ_rm.3",2,0.582,0.878,0.524,0.714,0.756527415143603,0.153282711438675
"Papilio canadensis","MAXENT","fc.LQ_rm.3",3,0.694,0.41,0.704,0.078,0.182767624020888,0.337266476575873
"Papilio canadensis","MAXENT","fc.LQ_rm.3",4,0.834,0.918,0.683,0.689,0.101174934725849,0.588794670137373
"Papilio canadensis","RF","mtry = 3",1,0.793,0.931,0.645,0.696,0.144,0.527
"Papilio canadensis","RF","mtry = 3",2,0.479,0.143,0.586,0.337,0.023,0.085
"Papilio canadensis","RF","mtry = 3",3,0.719,0.749,0.72,0.21,0.32,0.341
"Papilio canadensis","RF","mtry = 3",4,0.841,0.994,0.65,0.474,0.182,0.533
"Papilio cresphontes","BRT","tree.6025_node.5_lr.0.01",1,0.774871424884243,0.963,0.692805600587472,0.32208426,0.310828025477707,0.410956037617207
