insect,sdm,tune.args,fold,AUC,CBI,IMAE,thr.mss,OR.mss,TSS.mss
Papilio appalachiensis,BRT,tree.1875_node.5_lr.0.001,1,0.796647525,0.409,0.98086548,0.00567947,0,0.575154101
Papilio appalachiensis,BRT,tree.1875_node.5_lr.0.001,2,0.751534398,-0.015,0.984451485,0.00768488,0.192307692,0.490761532
Papilio appalachiensis,BRT,tree.1875_node.5_lr.0.001,3,0.864802966,0.479,0.971392232,0.01271262,0.076923077,0.642673646
Papilio appalachiensis,BRT,tree.1875_node.5_lr.0.001,4,0.629692251,0.703,0.974566044,0.00585788,0.115384615,0.216717343
Papilio appalachiensis,GAM,NA,1,0.857945665,0.286,0.985340737,0.00205987,0.074074074,0.658974764
Papilio appalachiensis,GAM,NA,2,0.792177242,0.826,0.982196664,0.00466607,0.076923077,0.512178953
Papilio appalachiensis,GAM,NA,3,0.694597935,0.705,0.972035953,0.01138164,0.076923077,0.40637875
Papilio appalachiensis,GAM,NA,4,0.640163678,0.665,0.970739473,0.00069323,0.076923077,0.261089483
Papilio appalachiensis,LASSO,lambda.1se,1,0.815780693,0.64,0.728733525,0.30849795,0.148148148,0.571624256
Papilio appalachiensis,LASSO,lambda.1se,2,0.790519878,0.864,0.599394966,0.46985622,0.153846154,0.508094352
Papilio appalachiensis,LASSO,lambda.1se,3,0.846699142,0.631,0.49459095,0.60395798,0.115384615,0.659662644
Papilio appalachiensis,LASSO,lambda.1se,4,0.649526868,0.488,0.709636716,0.14447409,0.076923077,0.295814271
Papilio appalachiensis,MAXENT,fc.L_rm.1,1,0.857882378,0.505,0.859770843,0.13082597,0.037037037,0.700715124
Papilio appalachiensis,MAXENT,fc.L_rm.1,2,0.79313056,0.891,0.684112266,0.2986424,0.153846154,0.478749758
Papilio appalachiensis,MAXENT,fc.L_rm.1,3,0.884381314,0.799,0.543116228,0.64052867,0.076923077,0.686049377
Papilio appalachiensis,MAXENT,fc.L_rm.1,4,0.683786188,0.844,0.719516743,0.18094916,0.038461538,0.311780908
Papilio appalachiensis,RF,mtry = 3,1,0.813190383,0.556,0.769748596,0.303,0.074074074,0.626731995
Papilio appalachiensis,RF,mtry = 3,2,0.758842839,0.855,0.767913884,0.193,0.115384615,0.450086611
Papilio appalachiensis,RF,mtry = 3,3,0.841379477,0.879,0.596894606,0.554,0.153846154,0.58717464
Papilio appalachiensis,RF,mtry = 3,4,0.581753858,0.509,0.687446762,0.448,0.615384615,0.203233781
Papilio brevicauda,BRT,tree.6275_node.5_lr.0.001,1,0.692913769,0.761,0.974232528,0.01128686,0.30952381,0.448930297
Papilio brevicauda,BRT,tree.6275_node.5_lr.0.001,2,0.630813606,0.699,0.91069457,0.02274243,0.024390244,0.300977403
Papilio brevicauda,BRT,tree.6275_node.5_lr.0.001,3,0.588706199,-0.588,0.971305778,0.00327101,0,0.248679245
Papilio brevicauda,BRT,tree.6275_node.5_lr.0.001,4,0.637304906,0.678,0.973350461,0.01581931,0.463414634,0.316565544
Papilio brevicauda,GAM,NA,1,0.305206066,-0.8,0.973653474,6.57E-05,0,0.093645485
Papilio brevicauda,GAM,NA,2,0.690503945,0.347,0.854551246,0.08637866,0.292682927,0.378272956
Papilio brevicauda,GAM,NA,3,0.398005391,-0.378,0.969636273,0.00181215,0.714285714,0.15967655
Papilio brevicauda,GAM,NA,4,0.508109937,0.181,0.859671056,0.04512949,0.487804878,0.172915307
Papilio brevicauda,LASSO,lambda.1se,1,0.892436871,0.915,0.817891307,0.2981746,0.19047619,0.63412433
Papilio brevicauda,LASSO,lambda.1se,2,0.629408776,0.759,0.205961183,0.80486508,0.146341463,0.234785988
Papilio brevicauda,LASSO,lambda.1se,3,0.609415993,0.511,0.865943515,0.02971146,0.142857143,0.195256065
Papilio brevicauda,LASSO,lambda.1se,4,0.786248963,0.844,0.575488706,0.6302513,0.414634146,0.449257496
Papilio brevicauda,MAXENT,fc.L_rm.3,1,0.898398317,0.853,0.749220724,0.37009666,0.095238095,0.656743785
Papilio brevicauda,MAXENT,fc.L_rm.3,2,0.806158115,0.512,0.344986226,0.89042359,0.170731707,0.514372001
Papilio brevicauda,MAXENT,fc.L_rm.3,3,0.692780151,0.32,0.889953802,0.10510509,0.390243902,0.352569436
Papilio brevicauda,MAXENT,fc.L_rm.3,4,0.767320667,0.823,0.591720865,0.57630553,0.292682927,0.501021025
Papilio brevicauda,RF,mtry = 3,1,0.705318434,0.692,0.760920234,0.389,0.452380952,0.448771036
Papilio brevicauda,RF,mtry = 3,2,0.682964192,0.407,0.46154214,0.522,0.024390244,0.425364658
Papilio brevicauda,RF,mtry = 3,3,0.589451932,0.56,0.839611441,0.292,0.666666667,0.210691824
Papilio brevicauda,RF,mtry = 3,4,0.713456936,0.626,0.623431226,0.541,0.43902439,0.421233291
Papilio canadensis,BRT,tree.6625_node.5_lr.0.01,1,0.806295937,0.963,0.676113059,0.69651791,0.09458578,0.499639144
