"plant","sdm","tune.args","fold","AUC","CBI","IMAE","thr.mss","OR.mss","TSS.mss"
"Persea borbonia","BRT","tree.8500_node.5_lr.0.001",1,0.438893696,0.163,0.788720167,0.03655889,0,0.114956737
"Persea borbonia","BRT","tree.8500_node.5_lr.0.001",2,0.703368493,0.836,0.801904412,0.11102418,0.272727273,0.351166533
"Persea borbonia","BRT","tree.8500_node.5_lr.0.001",3,0.680116709,0.845,0.959035548,0.04207131,0.6,0.293870697
"Persea borbonia","BRT","tree.8500_node.5_lr.0.001",4,0.906734584,0.355,0.944916198,0.00448214,0.131313131,0.697732037
"Persea borbonia","GAM",NA,1,0.642982077,0.41,0.74885041,0.01531822,0,0.281829419
"Persea borbonia","GAM",NA,2,0.624139626,0.932,0.806337708,0.24385148,0.565656566,0.269151694
"Persea borbonia","GAM",NA,3,0.835261965,0.842,0.976230766,0.00037374,0.06,0.590713686
"Persea borbonia","GAM",NA,4,0.84106358,0.718,0.946069872,0.00781635,0.272727273,0.637507147
"Persea borbonia","LASSO","lambda.1se",1,0.658791718,0.315,0.437581353,0.48420674,0.03,0.345772559
"Persea borbonia","LASSO","lambda.1se",2,0.617882363,-0.187,0.338613743,0.92092732,0.565656566,0.266201841
"Persea borbonia","LASSO","lambda.1se",3,0.847648195,0.654,0.950328457,0.00145409,0.07,0.572653233
"Persea borbonia","LASSO","lambda.1se",4,0.925463901,0.862,0.893261863,0.082801,0.04040404,0.718315228
"Persea borbonia","MAXENT","fc.L_rm.3",1,0.528942688,-0.339,0.383537247,0.31275228,0,0.184453228
"Persea borbonia","MAXENT","fc.L_rm.3",2,0.508347726,-0.093,0.1675779,0.94845654,0.101010101,0.080337049
"Persea borbonia","MAXENT","fc.L_rm.3",3,0.804485056,0.769,0.912616533,0.01481736,0.14,0.498428693
"Persea borbonia","MAXENT","fc.L_rm.3",4,0.922938476,0.967,0.709471859,0.46924015,0.181818182,0.688484848
"Persea borbonia","RF","mtry = 3",1,0.661044499,-0.355,0.505379511,0.446,0,0.467861557
"Persea borbonia","RF","mtry = 3",2,0.656640148,0.739,0.428836551,0.8,0.606060606,0.256771252
"Persea borbonia","RF","mtry = 3",3,0.643129303,0.891,0.8324,0.255,0.49,0.38388749
"Persea borbonia","RF","mtry = 3",4,0.917817396,0.908,0.904023268,0.057,0.02020202,0.694492091
"Prunus virginiana","BRT","tree.6925_node.5_lr.0.01",1,0.744246907,0.983,0.684016646,0.22774874,0.312309257,0.367298251
"Prunus virginiana","BRT","tree.6925_node.5_lr.0.01",2,0.649303472,0.98,0.457438685,0.80261861,0.401831129,0.232323332
"Prunus virginiana","BRT","tree.6925_node.5_lr.0.01",3,0.673088938,0.975,0.639399463,0.3632934,0.427263479,0.263007864
"Prunus virginiana","BRT","tree.6925_node.5_lr.0.01",4,0.533915073,0.102,0.54224652,0.11775052,0.067209776,0.087391451
"Prunus virginiana","GAM",NA,1,0.78035173,0.929,0.709080434,0.16519155,0.219735504,0.416783268
"Prunus virginiana","GAM",NA,2,0.631484911,0.919,0.475432564,0.58582121,0.11698881,0.249189619
"Prunus virginiana","GAM",NA,3,0.648591071,0.814,0.588484328,0.39569981,0.286876907,0.262097282
"Prunus virginiana","GAM",NA,4,0.663033686,0.852,0.612122886,0.12919414,0.235234216,0.220594005
"Prunus virginiana","LASSO","lambda.1se",1,0.690239186,0.874,0.64806495,0.50981927,0.422177009,0.295826404
"Prunus virginiana","LASSO","lambda.1se",2,0.595479341,0.919,0.460265469,0.60101196,0.170905392,0.181291679
"Prunus virginiana","LASSO","lambda.1se",3,0.658294077,0.682,0.581126216,0.28933525,0.180061038,0.256073972
"Prunus virginiana","LASSO","lambda.1se",4,0.582489411,0.474,0.468727101,0.68206015,0.284114053,0.152695763
"Prunus virginiana","MAXENT","fc.LQH_rm.1",1,0.796611462,0.969,0.65984687,0.45729837,0.23906409,0.447930767
"Prunus virginiana","MAXENT","fc.LQH_rm.1",2,0.649266923,0.91,0.464627376,0.86920902,0.50610998,0.200616034
"Prunus virginiana","MAXENT","fc.LQH_rm.1",3,0.650508123,0.891,0.541271185,0.47493913,0.256358087,0.273803757
"Prunus virginiana","MAXENT","fc.LQH_rm.1",4,0.717051212,0.937,0.580746594,0.38990742,0.100814664,0.363691509
"Prunus virginiana","RF","mtry = 3",1,0.756077724,0.983,0.614198677,0.407,0.290946083,0.399753575
"Prunus virginiana","RF","mtry = 3",2,0.755148612,0.989,0.506895159,0.646,0.240081384,0.436682931
"Prunus virginiana","RF","mtry = 3",3,0.64490498,0.872,0.57591236,0.471,0.459816887,0.279759552
"Prunus virginiana","RF","mtry = 3",4,0.699390876,0.953,0.564891654,0.504,0.483706721,0.28807242
"Ptelea trifoliata","BRT","tree.6125_node.5_lr.0.01",1,0.813467303,0.983,0.782342764,0.14486212,0.217948718,0.451026856
"Ptelea trifoliata","BRT","tree.6125_node.5_lr.0.01",2,0.816590018,0.869,0.776294324,0.40059596,0.435897436,0.465963816
"Ptelea trifoliata","BRT","tree.6125_node.5_lr.0.01",3,0.645369827,0.599,0.734331462,0.1157184,0.316239316,0.199309464
"Ptelea trifoliata","BRT","tree.6125_node.5_lr.0.01",4,0.755564634,0.922,0.780013785,0.10768501,0.321199143,0.340325357
"Ptelea trifoliata","GAM",NA,1,0.71140954,0.885,0.708495857,0.3062518,0.30982906,0.382114068
"Ptelea trifoliata","GAM",NA,2,0.794355986,0.789,0.769967067,0.2197305,0.275641026,0.476756041
"Ptelea trifoliata","GAM",NA,3,0.575044624,0.008,0.610293501,0.05842339,0.10042735,0.204755576
"Ptelea trifoliata","GAM",NA,4,0.708357299,0.914,0.74511841,0.32763547,0.533190578,0.271255883
"Ptelea trifoliata","LASSO","lambda.1se",1,0.793864959,0.943,0.619668123,0.57098337,0.151709402,0.524557459
"Ptelea trifoliata","LASSO","lambda.1se",2,0.766644492,0.824,0.64954943,0.79553972,0.414529915,0.447286216
"Ptelea trifoliata","LASSO","lambda.1se",3,0.653860811,0.843,0.540721317,0.62714475,0.299145299,0.281037628
"Ptelea trifoliata","LASSO","lambda.1se",4,0.727214389,0.93,0.581444711,0.5646209,0.205567452,0.369296432
"Ptelea trifoliata","MAXENT","fc.L_rm.3",1,0.656499483,0.867,0.509687931,0.66747357,0.438034188,0.25954823
"Ptelea trifoliata","MAXENT","fc.L_rm.3",2,0.523211926,-0.258,0.346146735,0.87133989,0.34261242,0.187249755
"Ptelea trifoliata","MAXENT","fc.L_rm.3",3,0.521753163,0.36,0.378924441,0.5363294,0.051391863,0.116756022
"Ptelea trifoliata","MAXENT","fc.L_rm.3",4,0.688266092,0.965,0.438682089,0.60157198,0.147751606,0.284027323
"Ptelea trifoliata","RF","mtry = 3",1,0.835918391,0.999,0.625710371,0.52,0.230769231,0.531534816
"Ptelea trifoliata","RF","mtry = 3",2,0.845918237,0.96,0.722316823,0.348,0.286324786,0.534318192
"Ptelea trifoliata","RF","mtry = 3",3,0.689501577,0.945,0.660615795,0.407,0.450854701,0.295791641
"Ptelea trifoliata","RF","mtry = 3",4,0.749739621,0.986,0.644198802,0.356,0.132762313,0.371774892
"Ruta graveolens","BRT","tree.6650_node.5_lr.0.001",1,0.738088455,0.607,0.967251626,0.00536738,0.184210526,0.431035301
"Ruta graveolens","BRT","tree.6650_node.5_lr.0.001",2,0.61003861,0.542,0.869000621,0.1794526,0.594594595,0.230737968
"Ruta graveolens","BRT","tree.6650_node.5_lr.0.001",3,0.839171635,0.715,0.974517475,0.0379131,0.289473684,0.565935174
