"insect","tune.args","auc.train","cbi.train","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","IMAE.avg","or.10p.avg","thr","OR.mss.avg","TSS.avg","ncoef"
"Papilio appalachiensis","fc.L_rm.1",0.831,0.954,0.805,0.089,0.76,0.174,0.702,0.189,0.313,0.077,0.544,8
"Papilio appalachiensis","fc.LQ_rm.1",0.833,0.898,0.803,0.085,0.699,0.104,0.742,0.312,0.323,0.211,0.532,11
"Papilio appalachiensis","fc.H_rm.1",0.857,0.923,0.74,0.113,0.658,0.18,0.705,0.464,0.266,0.139,0.433,26
"Papilio appalachiensis","fc.LQH_rm.1",0.864,0.932,0.774,0.102,0.62,0.206,0.727,0.312,0.306,0.162,0.506,32
"Papilio appalachiensis","fc.L_rm.2",0.825,0.954,0.789,0.104,0.729,0.074,0.693,0.32,0.329,0.104,0.515,7
"Papilio appalachiensis","fc.LQ_rm.2",0.831,0.915,0.798,0.092,0.664,0.173,0.719,0.377,0.339,0.2,0.503,8
"Papilio appalachiensis","fc.H_rm.2",0.838,0.972,0.762,0.089,0.664,0.216,0.659,0.433,0.374,0.153,0.483,15
"Papilio appalachiensis","fc.LQH_rm.2",0.849,0.925,0.781,0.105,0.735,0.195,0.703,0.405,0.37,0.182,0.512,15
"Papilio appalachiensis","fc.L_rm.3",0.822,0.943,0.784,0.104,0.647,0.129,0.682,0.329,0.328,0.094,0.505,6
"Papilio appalachiensis","fc.LQ_rm.3",0.83,0.92,0.787,0.096,0.631,0.161,0.696,0.358,0.351,0.104,0.506,7
"Papilio appalachiensis","fc.H_rm.3",0.826,0.988,0.76,0.082,0.677,0.299,0.625,0.387,0.388,0.134,0.472,9
"Papilio appalachiensis","fc.LQH_rm.3",0.842,0.939,0.784,0.095,0.735,0.147,0.688,0.406,0.38,0.182,0.502,13
"Papilio brevicauda","fc.L_rm.1",0.806,0.981,0.782,0.103,0.686,0.266,0.676,0.231,0.404,0.219,0.503,7
