"species_filename","species_col","match"
"Aegopodium podagraria","Aegopodium podagraria",1
"Aletes acaulis","Aletes acaulis",1
"Alnus alnobetula","Alnus alnobetula",1
"Alnus incana","Alnus incana",1
"Alnus rubra","Alnus rubra",1
"Amelanchier canadensis","Amelanchier canadensis",1
"Amyris elemifera","Amyris elemifera",1
"Amyris texana","Amyris texana",1
"Anethum graveolens","Anethum graveolens",1
"Angelica ampla","Angelica ampla",1
"Angelica archangelica","Angelica archangelica",1
"Angelica arguta","Angelica arguta",1
"Angelica atropurpurea","Angelica atropurpurea",1
"Angelica hendersonii","Angelica hendersonii",1
"Angelica kingii","Angelica kingii",1
"Angelica lineariloba","Angelica lineariloba",1
"Angelica lucida","Angelica lucida",1
"Angelica sylvestris","Angelica sylvestris",1
"Angelica tomentosa","Angelica tomentosa",1
"Angelica venenosa","Angelica venenosa",1
"Apium graveolens","Apium graveolens",1
"Artemisia dracunculus","Artemisia dracunculus",1
"Artemisia norvegica","Artemisia norvegica",1
"Berula erecta","Berula erecta",1
"Betula alba","Betula pubescens",0
"Betula alleghaniensis","Betula alleghaniensis",1
"Betula lenta","Betula lenta",1
"Betula papyrifera","Betula papyrifera",1
"Bupleurum fruticescens","Bupleurum fruticescens",1
"Carpinus caroliniana","Carpinus caroliniana",1
"Carum carvi","Carum carvi",1
"Casimiroa greggii","Casimiroa greggii",1
"Catalpa bignonioides","Catalpa bignonioides",1
"Cicuta bulbifera","Cicuta bulbifera",1
"Cicuta douglasii","Cicuta douglasii",1
"Cicuta maculata","Cicuta maculata",1
"Cinnamomum camphora","Cinnamomum camphora",1
"Conioselinum chinense","Conioselinum chinense",1
"Conioselinum scopulorum","Conioselinum scopulorum",1
"Conium maculatum","Conium maculatum",1
"Crithmum maritimum","Crithmum maritimum",1
"Cryptotaenia canadensis","Cryptotaenia canadensis",1
"Cydonia oblonga","Cydonia oblonga",1
"Cymopterus panamintensis","Aulospermum panamintense",0
"Cymopterus purpureus","Cymopterus purpureus",1
"Daucus carota","Daucus carota",1
"Daucus pusillus","Daucus pusillus",1
"Dictamnus albus","Dictamnus albus",1
"Eriodictyon californicum","Eriodictyon californicum",1
"Falcaria vulgaris","Falcaria vulgaris",1
"Ferula communis","Ferula communis",1
"Foeniculum vulgare","Foeniculum vulgare",1
"Fraxinus americana","Fraxinus americana",1
"Fraxinus anomala","Fraxinus anomala",1
"Fraxinus caroliniana","Fraxinus caroliniana",1
"Fraxinus latifolia","Fraxinus latifolia",1
"Fraxinus nigra","Fraxinus nigra",1
"Fraxinus pennsylvanica","Fraxinus pennsylvanica",1
"Harbouria trachypleura","Harbouria trachypleura",1
"Heracleum lanatum","Heracleum sphondylium",0
"Heracleum maximum","Heracleum sphondylium",0
"Heracleum sphondylium","Heracleum sphondylium",1
"Holodiscus discolor","Holodiscus discolor",1
"Levisticum officinale","Levisticum officinale",1
"Ligusticum grayi","Ligusticum grayi",1
"Ligusticum porteri","Ligusticum porteri",1
"Ligusticum scoticum","Ligusticum scoticum",1
"Ligustrum lucidum","Ligustrum lucidum",1
"Ligustrum vulgare","Ligustrum vulgare",1
"Lindera benzoin","Lindera benzoin",1
"Liriodendron tulipifera","Liriodendron tulipifera",1
"Lomatium californicum","Lomatium californicum",1
"Lomatium dasycarpum","Lomatium dasycarpum",1
"Lomatium dissectum","Lomatium dissectum",1
"Lomatium eastwoodiae","Lomatium eastwoodiae",1
"Lomatium grayi","Lomatium grayi",1
"Lomatium junceum","Lomatium junceum",1
"Lomatium latilobum","Lomatium latilobum",1
"Lomatium lucidum","Lomatium lucidum",1
"Lomatium marginatum","Lomatium marginatum",1
"Lomatium nuttallii","Lomatium nuttallii",1
"Lomatium parryi","Lomatium parryi",1
"Lomatium scabrum","Lomatium scabrum",1
"Lomatium triternatum","Lomatium triternatum",1
"Lomatium utriculatum","Lomatium utriculatum",1
"Magnolia acuminata","Magnolia acuminata",1
"Magnolia virginiana","Magnolia virginiana",1
"Malus pumila","Malus pumila",1
"Oenanthe sarmentosa","Oenanthe sarmentosa",1
"Osmorhiza longistylis","Osmorhiza longistylis",1
"Papilio appalachiensis","Papilio appalachiensis",1
"Papilio aristodemus","Papilio aristodemus",1
"Papilio brevicauda","Papilio brevicauda",1
"Papilio canadensis","Papilio canadensis",1
"Papilio cresphontes","Papilio cresphontes",1
"Papilio eurymedon","Papilio eurymedon",1
"Papilio glaucus","Papilio glaucus",1
"Papilio indra","Papilio indra",1
"Papilio machaon","Papilio machaon",1
"Papilio multicaudata","Papilio multicaudata",1
"Papilio palamedes","Papilio palamedes",1
"Papilio polyxenes","Papilio polibetes",0
"Papilio rumiko","Papilio rumiko",1
"Papilio rutulus","Papilio rutulus",1
"Papilio troilus","Papilio troilus",1
"Papilio zelicaon","Papilio zelicaon",1
"Pastinaca sativa","Pastinaca sativa",1
"Perideridia bolanderi","Perideridia bolanderi",1
"Perideridia gairdneri","Perideridia gairdneri",1
"Perideridia kelloggii","Perideridia kelloggii",1
"Persea americana","Persea americana",1
"Persea borbonia","Persea borbonia",1
"Petroselinum crispum","Petroselinum crispum",1
"Peucedanum oreoselinum","Peucedanum oreoselinum",1
"Pimpinella saxifraga","Pimpinella saxifraga",1
"Platanus racemosa","Platanus racemosa",1
"Platanus wrightii","Platanus wrightii",1
"Populus angustifolia","Populus angustifolia",1
"Populus balsamifera","Populus balsamifera",1
"Populus deltoides","Populus deltoides",1
"Populus grandidentata","Populus grandidentata",1
"Populus tremuloides","Populus tremuloides",1
"Populus trichocarpa","Populus trichocarpa",1
"Prunus americana","Prunus americana",1
"Prunus caroliniana","Prunus caroliniana",1
"Prunus cerasus","Prunus cerasus",1
"Prunus domestica","Prunus domestica",1
"Prunus emarginata","Prunus emarginata",1
"Prunus ilicifolia","Prunus ilicifolia",1
"Prunus pensylvanica","Prunus pensylvanica",1
"Prunus persica","Prunus persica",1
"Prunus serotina","Prunus serotina",1
"Prunus virginiana","Prunus virginiana",1
"Pseudocymopterus montanus","Cymopterus lemmonii",0
"Ptelea crenulata","Ptelea crenulata",1
"Ptelea trifoliata","Ptelea trifoliata",1
"Pteryxia hendersonii","Pteryxia hendersonii",1
"Pteryxia petraea","Pteryxia petraea",1
"Pteryxia terebinthina","Pteryxia terebinthina",1
"Ptilimnium capillaceum","Ptilimnium capillaceum",1
"Rhamnus californica","Frangula californica",0
"Ruta chalepensis","Ruta chalepensis",1
"Ruta graveolens","Ruta graveolens",1
"Salix babylonica","Salix babylonica",1
"Salix exigua","Salix exigua",1
"Salix hookeriana","Salix hookeriana",1
"Salix lasiandra","Salix lucida",0
