"species","clim_model","ncells","sdm0","sdm1","sdm2","sdm3","sdm4","sdm5"
"Papilio appalachiensis","current",15312,50.4,10.1,7.7,6.3,9.8,15.7
"Papilio appalachiensis","ensemble_ssp245_2041",73864,8.9,36.2,49.6,5.2,0,0
"Papilio appalachiensis","ensemble_ssp245_2071",186001,3.9,26.5,49.8,19,0.4,0.5
"Papilio appalachiensis","ensemble_ssp370_2041",73864,8.1,41.3,46.7,3.9,0,0
"Papilio appalachiensis","ensemble_ssp370_2071",186001,3,26.2,60.6,9.9,0.1,0
"Papilio brevicauda","current",28298,61.7,9.3,6.8,8.5,7.5,6
"Papilio brevicauda","ensemble_ssp245_2041",80466,5.6,9.2,8.2,8.1,29.2,39.7
"Papilio brevicauda","ensemble_ssp245_2071",179918,0.4,3.3,4.8,17.5,32.5,41.4
"Papilio brevicauda","ensemble_ssp370_2041",80466,2.8,9,8.4,9.6,28,42.1
"Papilio brevicauda","ensemble_ssp370_2071",179918,0,0.1,2.2,9.7,39.1,49
"Papilio canadensis","current",667294,73.4,5.5,4.2,3.7,2.8,10.3
"Papilio canadensis","ensemble_ssp245_2041",939843,70.9,14.3,9.6,2.3,1.6,1.3
"Papilio canadensis","ensemble_ssp245_2071",1243537,72.8,12.5,10.1,2.1,1.4,1.2
"Papilio canadensis","ensemble_ssp370_2041",939843,68.8,14,11.4,2.7,1.9,1.3
"Papilio canadensis","ensemble_ssp370_2071",1243537,65.4,14.2,14.4,2.6,1.8,1.6
"Papilio cresphontes","current",320593,56.6,12.2,7.9,6.2,5.5,11.6
"Papilio cresphontes","ensemble_ssp245_2041",460561,36.6,23.8,18.2,11.1,8.3,1.9
"Papilio cresphontes","ensemble_ssp245_2071",678198,33.1,34.9,13.3,9.7,7.2,1.8
"Papilio cresphontes","ensemble_ssp370_2041",460561,32.7,24.3,18.9,12.9,9,2.3
"Papilio cresphontes","ensemble_ssp370_2071",678198,26.8,27,16.4,13.8,13.6,2.5
"Papilio eurymedon","current",186321,72.9,3.7,3.1,2.9,4.4,13
"Papilio eurymedon","ensemble_ssp245_2041",293413,63.1,11.8,6.4,5.1,5.4,8.2
"Papilio eurymedon","ensemble_ssp245_2071",516308,75.6,9,4.7,3.3,3.2,4.2
"Papilio eurymedon","ensemble_ssp370_2041",293413,62.1,11.8,7.1,5.4,5.7,7.9
"Papilio eurymedon","ensemble_ssp370_2071",516308,73.5,10.9,5.7,3.7,3,3.3
"Papilio glaucus","current",224386,52,9.8,10,7.6,7.6,12.9
"Papilio glaucus","ensemble_ssp245_2041",331261,43.5,29.6,18.7,7.6,0.6,0
"Papilio glaucus","ensemble_ssp245_2071",564037,57.1,22.1,14.3,6.1,0.4,0
"Papilio glaucus","ensemble_ssp370_2041",331261,40.7,30.1,20.6,8,0.6,0
"Papilio glaucus","ensemble_ssp370_2071",564037,42.1,28.2,19.9,7.8,2,0
"Papilio indra","current",155228,43.1,19,14.9,8.9,7.1,7
"Papilio indra","ensemble_ssp245_2041",254679,11.5,15.6,22,20.7,14.8,15.5
"Papilio indra","ensemble_ssp245_2071",463000,10,11.9,45.5,15.3,9,8.2
"Papilio indra","ensemble_ssp370_2041",254679,10.8,14.9,21.7,21.8,15.1,15.6
"Papilio indra","ensemble_ssp370_2071",463000,8.5,11.6,47.1,16.5,8.9,7.3
"Papilio machaon","current",1129872,61.4,8.3,12.5,6.9,4.3,6.6
"Papilio machaon","ensemble_ssp245_2041",1302159,60.8,15.9,11.5,5.3,2.8,3.7
"Papilio machaon","ensemble_ssp245_2071",1521753,59.6,18.6,11.4,4.6,2.8,3
"Papilio machaon","ensemble_ssp370_2041",1302159,58.9,16.7,12.2,5.7,3,3.6
"Papilio machaon","ensemble_ssp370_2071",1521753,51.5,20.2,15.1,6.1,3.8,3.3
"Papilio multicaudata","current",357228,61.4,13.2,7.6,6.6,3.8,7.4
"Papilio multicaudata","ensemble_ssp245_2041",467990,53.4,17.6,7.1,5.5,6.2,10.3
"Papilio multicaudata","ensemble_ssp245_2071",672385,60.3,19.4,5.8,3.7,4,6.7
"Papilio multicaudata","ensemble_ssp370_2041",467990,52.1,19.4,7.5,5.5,5.7,9.8
"Papilio multicaudata","ensemble_ssp370_2071",672385,58.7,20.9,7.8,3.9,3.5,5.2
"Papilio palamedes","current",73277,60.1,8.9,5.3,5,4.7,16
"Papilio palamedes","ensemble_ssp245_2041",149646,58.1,29.6,11.7,0.5,0.1,0
"Papilio palamedes","ensemble_ssp245_2071",320184,67.1,22.6,8.8,1.1,0.3,0.1
"Papilio palamedes","ensemble_ssp370_2041",149646,57.7,31.1,11,0.2,0,0
"Papilio palamedes","ensemble_ssp370_2071",320184,69.7,22.7,6.3,0.9,0.3,0.1
"Papilio polyxenes","current",575916,62.2,5.1,7.8,6.9,5.1,13
"Papilio polyxenes","ensemble_ssp245_2041",705562,64.5,15.7,10.3,6.1,2.7,0.7
"Papilio polyxenes","ensemble_ssp245_2071",896464,58.4,21.9,9.9,5.7,3,1.1
"Papilio polyxenes","ensemble_ssp370_2041",705562,62.2,16.3,10.8,6.5,3.3,1
"Papilio polyxenes","ensemble_ssp370_2071",896464,46.9,23.8,12.9,8.3,6,2.1
"Papilio rumiko","current",186333,67,9.8,6.7,5.4,4.6,6.5
"Papilio rumiko","ensemble_ssp245_2041",249558,67.2,13.9,11.2,4,2.4,1.3
"Papilio rumiko","ensemble_ssp245_2071",387873,74.6,11.4,8.3,3,1.7,1.1
"Papilio rumiko","ensemble_ssp370_2041",249558,66.5,13.4,11.9,4.4,2.4,1.5
"Papilio rumiko","ensemble_ssp370_2071",387873,69.5,13.3,9.6,3.9,2.2,1.4
"Papilio rutulus","current",219134,70.9,5.7,5,3.5,4.2,10.7
"Papilio rutulus","ensemble_ssp245_2041",334148,60.9,9.7,9.7,7.3,3.5,8.9
"Papilio rutulus","ensemble_ssp245_2071",566128,65.8,13.8,8.3,4.6,2,5.4
