"species","clim_model","sdm","area","perc_current","area_ratio"
"Papilio appalachiensis","current","brt",101433,NA,NA
"Papilio appalachiensis","current","gam",84413,NA,NA
"Papilio appalachiensis","current","lasso",72906,NA,NA
"Papilio appalachiensis","current","maxent-tune",76856,NA,NA
"Papilio appalachiensis","current","rf",85021,NA,NA
"Papilio appalachiensis","ensemble_ssp245_2041","brt",741112,73.21,7.31
"Papilio appalachiensis","ensemble_ssp245_2041","gam",367,0.43,0
"Papilio appalachiensis","ensemble_ssp245_2041","lasso",63898,18.83,0.88
"Papilio appalachiensis","ensemble_ssp245_2041","maxent-tune",0,0,0
"Papilio appalachiensis","ensemble_ssp245_2041","rf",1086636,98.76,12.78
"Papilio appalachiensis","ensemble_ssp245_2071","brt",2190317,57.42,21.59
"Papilio appalachiensis","ensemble_ssp245_2071","gam",68125,0,0.81
"Papilio appalachiensis","ensemble_ssp245_2071","lasso",476212,2.38,6.53
"Papilio appalachiensis","ensemble_ssp245_2071","maxent-tune",60801,0,0.79
"Papilio appalachiensis","ensemble_ssp245_2071","rf",2886225,98.32,33.95
"Papilio appalachiensis","ensemble_ssp370_2041","brt",680852,59.26,6.71
"Papilio appalachiensis","ensemble_ssp370_2041","gam",0,0,0
"Papilio appalachiensis","ensemble_ssp370_2041","lasso",46869,6.05,0.64
"Papilio appalachiensis","ensemble_ssp370_2041","maxent-tune",0,0,0
"Papilio appalachiensis","ensemble_ssp370_2041","rf",1105089,98.28,13
"Papilio appalachiensis","ensemble_ssp370_2071","brt",2244934,42.2,22.13
"Papilio appalachiensis","ensemble_ssp370_2071","gam",42067,0,0.5
"Papilio appalachiensis","ensemble_ssp370_2071","lasso",233699,4.6,3.21
"Papilio appalachiensis","ensemble_ssp370_2071","maxent-tune",17524,0,0.23
"Papilio appalachiensis","ensemble_ssp370_2071","rf",2889132,97.97,33.98
"Papilio brevicauda","current","brt",103843,NA,NA
"Papilio brevicauda","current","gam",71731,NA,NA
"Papilio brevicauda","current","lasso",126915,NA,NA
"Papilio brevicauda","current","maxent-tune",81570,NA,NA
"Papilio brevicauda","current","rf",53768,NA,NA
"Papilio brevicauda","ensemble_ssp245_2041","brt",971887,82.5,9.36
"Papilio brevicauda","ensemble_ssp245_2041","gam",816176,77.45,11.38
"Papilio brevicauda","ensemble_ssp245_2041","lasso",1023835,84.77,8.07
"Papilio brevicauda","ensemble_ssp245_2041","maxent-tune",477653,79.95,5.86
"Papilio brevicauda","ensemble_ssp245_2041","rf",842072,73.24,15.66
