"insect","distribution","climate","area_sqkm","percent_current","lat_max","Nlat_med","Nshift_mn_deg","Nshift_md_deg","Nshift_mn_km","Nshift_md_km"
"Papilio appalachiensis","total insect","current",66356,NA,41.1,37.94,NA,NA,NA,NA
"Papilio appalachiensis","total insect","ssp245_2041",35,0.05,35.65,35.65,-0.21,-0.21,-23,-23
"Papilio appalachiensis","total insect","ssp245_2071",25431,0,49.27,49.19,3.08,8.54,343,949
"Papilio appalachiensis","total insect","ssp370_2041",0,NA,NA,NA,NA,NA,NA,NA
"Papilio appalachiensis","total insect","ssp370_2071",4499,0,45.81,27.52,-9.49,-9.46,-1052,-1049
"Papilio appalachiensis","insect + host","current",41137,NA,40.94,37.81,NA,NA,NA,NA
"Papilio appalachiensis","insect + host","ssp245_2041",0,NA,NA,NA,NA,NA,NA,NA
"Papilio appalachiensis","insect + host","ssp245_2071",647,0,45.98,45.88,10.58,10.58,1175,1175
"Papilio appalachiensis","insect + host","ssp370_2041",0,NA,NA,NA,NA,NA,NA,NA
"Papilio appalachiensis","insect + host","ssp370_2071",15,0,45.4,45.4,NA,NA,NA,NA
"Papilio brevicauda","total insect","current",54621,NA,52.44,49.56,NA,NA,NA,NA
"Papilio brevicauda","total insect","ssp245_2041",781765,73.47,55.31,51.02,2.75,2.33,306,260
"Papilio brevicauda","total insect","ssp245_2071",1834046,73.47,59.73,56.85,6.13,8.21,682,914
"Papilio brevicauda","total insect","ssp370_2041",792843,73.47,55.31,51.06,2.81,2.42,313,269
"Papilio brevicauda","total insect","ssp370_2071",2165607,72.87,59.73,56.85,6.12,8.21,682,914
"Papilio brevicauda","insect + host","current",54536,NA,52.44,49.54,NA,NA,NA,NA
"Papilio brevicauda","insect + host","ssp245_2041",746635,73.43,55.31,51.02,2.74,2.33,305,260
"Papilio brevicauda","insect + host","ssp245_2071",1495962,73.43,58.94,55.35,4.5,5.04,501,561
"Papilio brevicauda","insect + host","ssp370_2041",755784,73.43,55.31,51.06,2.78,2.42,309,269
"Papilio brevicauda","insect + host","ssp370_2071",1911913,72.83,58.81,55.6,5,6,556,668
"Papilio canadensis","total insect","current",1270165,NA,62.48,50.23,NA,NA,NA,NA
"Papilio canadensis","total insect","ssp245_2041",368571,19.33,63.06,50.44,-0.9,-0.04,-101,-5
"Papilio canadensis","total insect","ssp245_2071",417525,13.92,64.94,52.88,0.06,0.1,7,12
"Papilio canadensis","total insect","ssp370_2041",403312,18.36,64.4,50.73,-0.47,0,-53,0
"Papilio canadensis","total insect","ssp370_2071",541833,8.42,68.06,55.75,1.43,1.25,159,139
"Papilio canadensis","insect + host","current",1234849,NA,62.44,50.1,NA,NA,NA,NA
"Papilio canadensis","insect + host","ssp245_2041",365042,19.03,63.02,50.4,-0.84,-0.04,-93,-5
"Papilio canadensis","insect + host","ssp245_2071",415819,13.53,64.94,52.85,0.13,0.21,15,23
"Papilio canadensis","insect + host","ssp370_2041",398717,18.02,64.06,50.69,-0.43,0.04,-48,5
"Papilio canadensis","insect + host","ssp370_2071",536423,7.93,67.81,55.1,1.51,1.29,168,144
"Papilio cresphontes","total insect","current",842930,NA,46.85,44.35,NA,NA,NA,NA
"Papilio cresphontes","total insect","ssp245_2041",722184,33.52,48.9,46.27,1.78,1.96,198,218
"Papilio cresphontes","total insect","ssp245_2071",962967,36.27,50.52,46.73,2.33,2.62,259,292
