"insect","distribution","climate","area","lat_max","lat_min","lon_max","lon_min","lat_max_bands","lat_min_bands","lon_max_bands","lon_min_bands","area_gained","area_lost","area_retained","lat_max_shift","lat_min_shift","lon_max_shift","lon_min_shift","pinsect_withhost","pinsecthost_1host"
"Papilio appalachiensis","total insect","current",66356,40.85,34.6,-77.44,-84.6,37.94,36.44,-79.19,-81.31,NA,NA,NA,NA,NA,NA,NA,61.99,NA
"Papilio appalachiensis","total insect","ssp245_2041",35,35.63,35.63,-83.06,-83.06,35.65,35.6,-83.06,-83.06,0,66321,35,-23,69,-72,62,0,NA
"Papilio appalachiensis","total insect","ssp245_2071",25431,49.27,26.31,-76.35,-87.19,49.19,48.73,-82.23,-82.56,25431,66356,0,949,1097,NA,NA,2.54,NA
"Papilio appalachiensis","total insect","ssp370_2041",0,NA,NA,NA,NA,NA,NA,NA,NA,0,66356,0,NA,NA,NA,NA,0,NA
"Papilio appalachiensis","total insect","ssp370_2071",4499,45.73,26.44,-81.77,-87.04,27.52,27.1,-82.19,-82.38,4499,66356,0,-1049,-961,NA,NA,0.33,NA
"Papilio appalachiensis","insect + host","current",41137,40.6,34.67,-77.44,-84.58,37.81,36.44,-79.4,-81.27,NA,NA,NA,NA,NA,NA,NA,NA,1
"Papilio appalachiensis","insect + host","ssp245_2041",0,NA,NA,NA,NA,NA,NA,NA,NA,0,41137,0,NA,NA,NA,NA,NA,NA
"Papilio appalachiensis","insect + host","ssp245_2071",647,45.96,45.19,-86.65,-87.08,45.88,45.73,-86.81,-86.92,647,41137,0,1175,1254,NA,NA,NA,1
"Papilio appalachiensis","insect + host","ssp370_2041",0,NA,NA,NA,NA,NA,NA,NA,NA,0,41137,0,NA,NA,NA,NA,NA,NA
"Papilio appalachiensis","insect + host","ssp370_2071",15,45.4,45.4,-86.94,-86.94,45.4,45.4,-86.94,-86.94,15,41137,0,NA,NA,NA,NA,NA,1
"Papilio brevicauda","total insect","current",54621,52.38,45.94,-52.65,-70,49.56,47.65,-55.31,-64.06,NA,NA,NA,NA,NA,NA,NA,99.84,NA
"Papilio brevicauda","total insect","ssp245_2041",781765,55.27,43.52,-52.69,-75.6,51.02,45.19,-55.94,-68.75,741634,14490,40131,260,-232,-3,-536,95.51,NA
