"insect","distribution","climate","area","lat_max","lat_min","lon_max","lon_min","lat_max_bands","lat_min_bands","lon_max_bands","lon_min_bands","area_gained","area_lost","area_retained","lat_max_shift","lat_min_shift","lon_max_shift","lon_min_shift","pinsect_withhost","pinsecthost_1host","phost_insect"
"Papilio appalachiensis","total insect","current",72222,41.21,34.54,-77.27,-84.65,38.06,36.48,-79.15,-81.15,NA,NA,NA,NA,NA,NA,NA,81.4599,NA,NA
"Papilio appalachiensis","total insect","ssp245_2041",311,31.19,31.04,-83.33,-83.77,31.19,31.1,-83.69,-83.79,294,72204,17,-513,-397,-79,75,0,NA,NA
"Papilio appalachiensis","total insect","ssp245_2071",17,35.65,35.65,-83.1,-83.1,35.65,35.65,-83.1,-83.1,0,72204,17,-28,83,-79,75,0,NA,NA
"Papilio appalachiensis","total insect","ssp370_2041",1319,31.58,31,-83.27,-84.23,31.21,31.12,-83.98,-84.19,1319,72222,0,-504,-395,NA,NA,0,NA,NA
"Papilio appalachiensis","total insect","ssp370_2071",0,NA,NA,NA,NA,NA,NA,NA,NA,0,72222,0,NA,NA,NA,NA,NA,NA,NA
"Papilio appalachiensis","total insect","ssp585_2041",0,NA,NA,NA,NA,NA,NA,NA,NA,0,72222,0,NA,NA,NA,NA,NA,NA,NA
"Papilio appalachiensis","total insect","ssp585_2071",0,NA,NA,NA,NA,NA,NA,NA,NA,0,72222,0,NA,NA,NA,NA,NA,NA,NA
"Papilio appalachiensis","insect + host","current",58832,41.21,34.54,-77.27,-84.65,37.98,36.48,-79.15,-81.15,NA,NA,NA,NA,NA,NA,NA,NA,100,NA
"Papilio appalachiensis","insect + host","ssp245_2041",0,NA,NA,NA,NA,NA,NA,NA,NA,0,58832,0,NA,NA,NA,NA,NA,NA,NA
"Papilio appalachiensis","insect + host","ssp245_2071",0,NA,NA,NA,NA,NA,NA,NA,NA,0,58832,0,NA,NA,NA,NA,NA,NA,NA
"Papilio appalachiensis","insect + host","ssp370_2041",0,NA,NA,NA,NA,NA,NA,NA,NA,0,58832,0,NA,NA,NA,NA,NA,NA,NA
"Papilio appalachiensis","insect + host","ssp370_2071",0,NA,NA,NA,NA,NA,NA,NA,NA,0,58832,0,NA,NA,NA,NA,NA,NA,NA
"Papilio appalachiensis","insect + host","ssp585_2041",0,NA,NA,NA,NA,NA,NA,NA,NA,0,58832,0,NA,NA,NA,NA,NA,NA,NA
"Papilio appalachiensis","insect + host","ssp585_2071",0,NA,NA,NA,NA,NA,NA,NA,NA,0,58832,0,NA,NA,NA,NA,NA,NA,NA
"Papilio brevicauda","total insect","current",110751,55.6,45.69,-52.69,-70.31,49.56,47.52,-55.48,-64.69,NA,NA,NA,NA,NA,NA,NA,99.9774,NA,NA
"Papilio brevicauda","total insect","ssp245_2041",758260,57.31,43.52,-52.69,-76.75,50.6,45.1,-56.5,-67.87,659413,11905,98847,158,-148,0,-439,97.5266,NA,NA
"Papilio brevicauda","total insect","ssp245_2071",861479,57.15,43.52,-52.69,-76.94,50.81,45.1,-56.48,-70.4,762633,11905,98847,199,-148,0,-595,99.4888,NA,NA
