"insect","distribution","climate","area_sqkm","area_prot_sqkm_national","area_prot_sqkm_state","area_prot_sqkm_local","area_prot_sqkm_private","proportion_national","proportion_state","proportion_local","proportion_private"
"Papilio appalachiensis","total insect","current",72221.8013826585,5814.47618989711,8525.63809004156,217.90255787807,139.580586068971,0.080508600984484,0.118047984498053,0.00301712992069444,0.00193266553030739
"Papilio appalachiensis","total insect","ssp245_2041",311.174770971161,17.7365840646409,0.5871109291179,0,0,0.0569987856319005,0.00188675620226395,0,0
"Papilio appalachiensis","total insect","ssp245_2071",17.4451741306686,17.4451741306686,0,0,0,1,0,0,0
"Papilio appalachiensis","total insect","ssp370_2041",1319.41059823319,2.55582063145937,14.2913337409925,4.07661754709752,0.021497437816923,0.00193709269493655,0.010831604475612,0.00308972624030494,1.6293212928341e-05
"Papilio appalachiensis","total insect","ssp370_2071",0,0,0,0,0,NA,NA,NA,NA
"Papilio appalachiensis","total insect","ssp585_2041",0,0,0,0,0,NA,NA,NA,NA
"Papilio appalachiensis","total insect","ssp585_2071",0,0,0,0,0,NA,NA,NA,NA
"Papilio appalachiensis","insect + host","current",58831.5234821859,4042.76099503446,7099.50283038445,212.83503720099,126.627297503652,0.0687175982491531,0.120675148460743,0.00361770398934912,0.00215237155199617
"Papilio appalachiensis","insect + host","ssp245_2041",0,0,0,0,0,NA,NA,NA,NA
"Papilio appalachiensis","insect + host","ssp245_2071",0,0,0,0,0,NA,NA,NA,NA
"Papilio appalachiensis","insect + host","ssp370_2041",0,0,0,0,0,NA,NA,NA,NA
"Papilio appalachiensis","insect + host","ssp370_2071",0,0,0,0,0,NA,NA,NA,NA
"Papilio appalachiensis","insect + host","ssp585_2041",0,0,0,0,0,NA,NA,NA,NA
"Papilio appalachiensis","insect + host","ssp585_2071",0,0,0,0,0,NA,NA,NA,NA
"Papilio brevicauda","total insect","current",110751.499022386,1641.98295836618,4200.01311485491,0,31.1578437051816,0.0148258305563366,0.0379228556897994,0,0.000281331124004775
"Papilio brevicauda","total insect","ssp245_2041",758259.890630908,16767.2208353139,37047.8367852269,363.402215197688,1358.26055637757,0.022112762447929,0.0488590221413418,0.000479258127309517,0.0017912863032323
"Papilio brevicauda","total insect","ssp245_2071",861479.49836151,16657.4784431738,40772.9038115729,357.61215342341,1325.08876085204,0.0193358965301617,0.0473289310878795,0.000415113945373709,0.00153815472494969
"Papilio brevicauda","total insect","ssp370_2041",792520.487859055,16766.3185619816,37872.4525000385,362.600559796965,1334.31019827223,0.0211556910121967,0.0477873481887497,0.000457528310437132,0.00168362864899151
"Papilio brevicauda","total insect","ssp370_2071",1040211.09770929,16511.7672800916,55953.1207342781,358.156072525391,1391.09423515333,0.0158734773321041,0.053790159379664,0.000344310951223369,0.00133731916359741
"Papilio brevicauda","total insect","ssp585_2041",830877.052831445,16814.6216366049,39413.7701078999,358.454329465075,1344.98413295733,0.0202371958393897,0.0474363444911452,0.000431416812202891,0.00161875229117704
"Papilio brevicauda","total insect","ssp585_2071",1134551.53246351,16734.6475910184,62033.3138050986,349.816484653731,1397.45671258715,0.014750011006271,0.0546765061172697,0.000308330185667422,0.00123172608083547
"Papilio brevicauda","insect + host","current",110726.92896507,1641.98295836618,4200.01311485491,0,31.1578437051816,0.0148291203749014,0.0379312706864638,0,0.00028139355075052
"Papilio brevicauda","insect + host","ssp245_2041",739504.449825719,16738.6142172083,36081.5964687801,360.559753968885,1285.57979512805,0.0226349066880574,0.0487915880388327,0.000487569417674038,0.00173843415740234
"Papilio brevicauda","insect + host","ssp245_2071",857075.477327323,16657.4784431738,40449.1728074801,357.61215342341,1325.08876085204,0.0194352526513977,0.0471944115512621,0.000417246978689178,0.00154605842298062
"Papilio brevicauda","insect + host","ssp370_2041",778987.037843035,16681.6896180093,37200.6444722483,359.945132483254,1332.85562734946,0.0214145920376286,0.0477551520950265,0.000462068192405254,0.00171101130391085
"Papilio brevicauda","insect + host","ssp370_2071",1035969.06405709,16511.7672800916,55688.7669231805,358.156072525391,1390.68622085952,0.0159384752431002,0.0537552412087391,0.000345720818267266,0.00134240130242237
"Papilio brevicauda","insect + host","ssp585_2041",824904.2530687,16814.6216366049,39126.1761282677,358.454329465075,1344.98226618472,0.0203837252312052,0.0474311727484925,0.000434540527741978,0.00163047076212942
"Papilio brevicauda","insect + host","ssp585_2071",1124745.63230049,16718.8073188266,61459.481988851,348.12971813909,1388.49722859526,0.0148645229985299,0.0546430056928921,0.000309518621936808,0.00123449888465476
"Papilio canadensis","total insect","current",1715516.39289617,53740.39039231,96093.3287436734,1388.18867608378,3714.05161772854,0.0313260722047572,0.0560142293839855,0.0008091958093972,0.0021649758831266
"Papilio canadensis","total insect","ssp245_2041",903852.819590014,25904.1417096292,54222.6394403099,348.367639502685,850.596216897138,0.0286596901046116,0.0599905629158796,0.000385425184224909,0.000941078235816056
"Papilio canadensis","total insect","ssp245_2071",959516.419544052,41363.8720352857,70758.9615325224,243.220683657408,591.155311165529,0.0431090820258618,0.073744398835974,0.00025348256549167,0.000616097128850006
