"climate_model","protection_level","t","df","p","estimate","lwr","upr","adj_p"
"ssp245_2041","Local",84.958710788672,12046,0,1.37220884867602,1.34054935008594,1.4038683472661,0
"ssp245_2041","National",18.4248148198344,193933,9.64473440505111e-76,0.0432157331875793,0.0386185738631609,0.0478128925119977,6.75131408353578e-75
"ssp245_2041","Private",68.1998809381092,16053,0,0.901831319297371,0.875912063107493,0.927750575487249,0
"ssp245_2041","State",75.7624618231717,116911,0,0.223826467770631,0.218036049312372,0.229616886228889,0
"ssp245_2071","Local",81.4969907504904,12046,0,1.32364904125508,1.29181271057765,1.35548537193252,0
"ssp245_2071","National",14.4239456514055,193933,3.87001306647091e-47,0.0342590778306022,0.0296038344326748,0.0389143212285295,1.54800522658837e-46
"ssp245_2071","Private",64.2166903159003,16053,0,0.862028154976953,0.835716124150424,0.888340185803482,0
"ssp245_2071","State",58.3170729903057,116911,0,0.176397632407281,0.170469066926977,0.182326197887584,0
"ssp370_2041","Local",82.4722839815036,12046,0,1.34323898065909,1.31131353305849,1.37516442825968,0
"ssp370_2041","National",13.9127577117122,193933,5.56444122427401e-44,0.0329029463631957,0.0282677048331732,0.0375381878932182,1.6693323672822e-43
"ssp370_2041","Private",63.9994708094904,16053,0,0.8634608197334,0.837015605471184,0.889906033995616,0
"ssp370_2041","State",65.8664380697339,116911,0,0.197490420145066,0.191613707672228,0.203367132617904,0
"ssp370_2071","Local",75.5905789808465,12046,0,1.26869760106251,1.23579864045516,1.30159656166985,0
"ssp370_2071","National",-6.35249912061658,193933,2.1231161826481e-10,-0.0154279290892778,-0.0201880043791834,-0.0106678537993723,4.2462323652962e-10
"ssp370_2071","Private",58.9940232038651,16053,0,0.816182882770649,0.789064717395552,0.843301048145746,0
"ssp370_2071","State",21.4604529695965,116911,5.7450436675468e-102,0.0681025044477897,0.0618826992058742,0.0743223096897053,4.59603493403744e-101
"ssp585_2041","Local",83.9414558908183,12046,0,1.35959159956836,1.3278430634333,1.39134013570341,0
"ssp585_2041","National",16.7335290747025,193933,8.26735155086052e-63,0.0396217269792816,0.0349808862928468,0.0442625676657165,4.96041093051631e-62
"ssp585_2041","Private",64.3466915992392,16053,0,0.869253768531207,0.84277479186562,0.895732745196794,0
"ssp585_2041","State",60.7011278443566,116911,0,0.184446421239907,0.178490813852801,0.190402028627012,0
"ssp585_2071","Local",76.4312172074617,12046,0,1.33153482194737,1.29738617638877,1.36568346750597,0
"ssp585_2071","National",3.26970053163716,193933,0.00107680150738614,0.00780162323264611,0.00312504938670684,0.0124781970785854,0.00107680150738614
"ssp585_2071","Private",62.3886689867436,16053,0,0.87666625140152,0.849123367922633,0.904209134880407,0
"ssp585_2071","State",15.0856886833187,116911,2.24910113425781e-51,0.0494645545367454,0.043037950412349,0.0558911586611419,1.1245505671289e-50
