"Species","Area (km2)","Area with at least one host (km2)","% Overlap with at least one host"
"P. appalachiensis",54526,38056,69.79
"P. brevicauda",101835,100746,98.93
"P. canadensis",1583887,1502976,94.89
"P. cresphontes",1044099,775439,74.27
"P. eurymedon",610131,601117,98.52
"P. glaucus",1190092,1186670,99.71
"P. indra",293714,253321,86.25
"P. machaon",2101641,1356977,64.57
"P. multicaudata",926904,645899,69.68
"P. palamedes",252213,165636,65.67
"P. polyxenes",1843401,1828193,99.17
"P. rumiko",445350,301543,67.71
"P. rutulus",610590,610573,100
"P. troilus",830259,772512,93.04
"P. zelicaon",717613,717572,99.99
